C#CCCC1(CCC(=O)NC(C)CN2CCN(C)CC2)N=N1
C#CCCC1(CCC(=O)Nc2cc3c(cc2NC(=O)OC(C)(C)C)OCO3)N=N1
C#CCCC1(CCCNC(=O)C2=Cc3ccccc3OC2C(F)F)N=N1
C#CCCCC1(CCCC(=O)NC(CF)c2cccc(Cl)c2)N=N1
C#CCCC1(CCC(=O)N[C@@H]2CCCN(CC3CCCCC3)C2)N=N1
C#CCCC1(CC(=O)OCCNC(=O)c2cc3c(s2)CCCC3)N=N1
C#CCCCC1(CCCC(=O)N2CCC(C)(CCO)C2)N=N1
C#CCCC1(CCC(=O)NCc2nc(C(=O)O)nn2C)N=N1
C#CCCC1(CCNC(=O)C2(NS(C)(=O)=O)CCCCC2)N=N1
C#CCCC1(CCNC(=O)c2cnn(CC(C)C)c2C2CC2)N=N1
C#CCCC1(CCCNC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)N=N1
C#CCCC1(CCSc2nnc(-c3ccco3)n2-c2ccc(Cl)cc2)N=N1
C#CCCCC1(CCCC(=O)NC(C)c2ccccc2-n2cccn2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(OC)c(-n3nnnc3C)c2)N=N1
C#CCCC1(CCC(=O)N(CC)Cc2cccc(C(N)=O)c2)N=N1
C#CCCC1(CCNC(=O)Cn2cc(C(=O)O)c3ccccc32)N=N1
C#CCCC1(CCC(=O)NCc2c(C(=O)O)sc3cccc(F)c23)N=N1
C#CCCCC1(CCCC(=O)N[C@H](C)c2ccc(Br)c(C)c2)N=N1
C#CCCCC1(CCCC(=O)O[C@@H]2CCCC23CC3)N=N1
C#CCCC1(CCC(=O)N(CC(=C)C)CC(=C)C)N=N1
C#CCCCC1(CCCC(=O)N2CC[C@@H](CO)[C@H](NC(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CCC(=O)Oc2ccc(CC=C)cc2OC)N=N1
C#CCCC1(CCOC(=O)C(C)=Cc2ccco2)N=N1
C#CCCCC1(CCCC(=O)NCC2CCCC23CC3)N=N1
C#CCCC1(CC(=O)N2CCOC3(CCS(=O)(=NC)CC3)C2)N=N1
C#CCCC1(CC(=O)NC2CC(n3cc(C(=O)OC)nn3)C2)N=N1
C#CCCC1(CCNC(=O)c2ccc(CNS(=O)(=O)c3ccc(C)c(C)c3)cc2)N=N1
C#CCCC1(CCNC(=O)CC2CCN(C(=O)OC(C)(C)C)CC2(F)F)N=N1
C#CCCC1(CC(=O)N2CCC3(CCCN(Cc4ccccc4)C3)C2)N=N1
C#CCCCC1(CCCC(=O)N(C)Cc2ccon2)N=N1
C#CCCC1(CCOC(=O)Cc2cc(OCC)c(OCC)cc2Br)N=N1
C#CCCCC1(CCCC(=O)N[C@H](C(=O)N(C)CCc2ccncc2)C(C)C)N=N1
C#CCCC1(CC(=O)NS(=O)(=O)c2c(Cl)cccc2[N+](=O)[O-])N=N1
C#CCCC1(CCOC(=O)C(CCSC)NC(=O)c2ccc(C(C)(C)C)cc2)N=N1
C#CCCCC1(CCCC(=O)NC(COC)c2cncc(F)c2)N=N1
C#CCCCC1(CCCC(=O)N2CCCC(CC(F)F)C2)N=N1
C#CCCCC1(CCCC(=O)N2CC(CF)C2)N=N1
C#CCCC1(CCC(=O)Nc2cccc(COC(C)C)c2)N=N1
C#CCCC1(CC(=O)OCc2ccc3[nH]ncc3c2)N=N1
C#CCCC1(CCC(=O)NCC(C)(C)Oc2cccc(OC)c2)N=N1
C#CCCC1(CCCNC(=O)C2(c3ccsc3)CC2)N=N1
C#CCCC1(CCNC(=O)c2cc(F)c(N)cc2F)N=N1
C#CCCC1(CCC(=O)N(CC2CC2)c2ccc(OCC)cc2)N=N1
C#CCCC1(CC(=O)Nc2nn(C)c3cc(Br)ccc23)N=N1
C#CCCC1(CCNC(=O)c2nnsc2NC(=O)OC(C)(C)C)N=N1
C#CCCC1(CCCNC(=O)c2sc(-c3ccc(C)o3)nc2C)N=N1
C#CCCC1(CCCNC(=O)c2ccc(C(C)C)[nH]c2=O)N=N1
C#CCCC1(CCNC(=O)c2c(F)cccc2C(F)(F)F)N=N1
C#CCCC1(CCCNC(=O)C2(C3CCN(C(=O)OC(C)(C)C)CC3)CCOCC2)N=N1
C#CCCC1(CCC(=O)NC2(c3noc(C(F)(F)F)n3)CCCC2)N=N1
C#CCCC1(CC(=O)NC2CCC3(CCCN3)CC2)N=N1
C#CCCC1(CC(=O)N2CC(C)(C)C2c2cccnc2)N=N1
C#CCCC1(CC(=O)Nc2cccc3c2CCN3C(=O)C(F)(F)F)N=N1
C#CCCC1(CCC(=O)NCc2cn(CC(F)(F)F)c(=O)[nH]c2=O)N=N1
C#CCCCC1(CCCC(=O)N(C)Cc2ccc(CN(CC)CCOC)cc2)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(-c3nc4ccccc4[nH]3)cc2)N=N1
C#CCCC1(CCC(=O)NC(C)(C)c2cnnn2-c2ccccc2C)N=N1
C#CCCC1(CC(=O)N[C@@H](C)c2ccccc2F)N=N1
C#CCCC1(CC(=O)NCc2nnc(C)n2C2CC2)N=N1
C#CCCC1(CC(=O)N2CCN(CCC(F)(F)F)CC2)N=N1
C#CCCC1(CC(=O)OC(COC)CN2CCOC(C)C2)N=N1
C#CCCC1(CC(=O)NC2CCN(Cc3ccccc3)CC2)N=N1
C#CCCC1(CCOC(=O)c2c(C)nn(-c3ccc(F)cc3)c2C)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc3oc(=O)n(CC(=O)N4CCCCC4)c3c2)N=N1
C#CCCC1(CC(=O)Oc2cnn(-c3ccccc3OC)c2)N=N1
C#CCCC1(CCC(=O)Nc2cccc(-c3ncc[nH]3)c2)N=N1
C#CCCC1(CCSc2nnc(-c3ccccc3F)n2Cc2ccco2)N=N1
C#CCCC1(CCC(=O)NCC2CCN(S(=O)(=O)CC)CC2)N=N1
C#CCCC1(CC(=O)N(Cc2ccc(C)cc2)c2ccccc2)N=N1
C#CCCCC1(CCCC(=O)N(Cc2ccco2)c2ccccc2)N=N1
C#CCCC1(CCCNC(=O)Cc2csc(N(CC)CC(C)C)n2)N=N1
C#CCCC1(CCC(=O)N(C)[C@H]2CN(Cc3ccccc3)CC[C@H]2C)N=N1
C#CCCC1(CC(=O)NCC2([S+](C)[O-])CCC2)N=N1
C#CCCC1(CCC(=O)N2CCC2C2CCC2)N=N1
C#CCCC1(CCC(=O)Nc2ccc(Cc3nccs3)cc2)N=N1
C#CCCC1(CCC(=O)N[C@@H]2CO[C@@H]3CNC[C@H]23)N=N1
C#CCCC1(CCNS(=O)(=O)CCn2ccnn2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(C(C)CC)[nH]c2=O)N=N1
C#CCCC1(CCC(=O)N2CCC(C)(CCO)C2)N=N1
C#CCCC1(CCC(=O)NC(C)c2cccc(NC(=O)Cc3ccccc3F)c2)N=N1
C#CCCC1(CCSc2nnc(COc3ccc(Cl)cc3Cl)o2)N=N1
C#CCCC1(CC(=O)OCC2CCCC(=O)N2C)N=N1
C#CCCC1(CC(=O)Nc2cc(CC)c(C(=O)O)s2)N=N1
C#CCCCC1(CCCC(=O)N[C@@H]2CC[C@H]2CNC(=O)OC(C)(C)C)N=N1
C#CCCCC1(CCCC(=O)NC(C(N)=O)c2ccccn2)N=N1
C#CCCCC1(CCCC(=O)NCCc2sccc2C)N=N1
C#CCCC1(CC(=O)Nc2cccc(-n3cnnc3)c2)N=N1
C#CCCC1(CCOC(=O)C(C)CCCC(C)=O)N=N1
C#CCCC1(CC(=O)Nc2ccc(Oc3cccc4cccnc34)cc2)N=N1
C#CCCC1(CC(=O)NS(=O)(=O)c2ccc(C#N)cc2C)N=N1
C#CCCC1(CC(=O)N[C@H]2CNCC[C@H]2c2ccc(C(F)(F)F)cc2)N=N1
C#CCCC1(CC(=O)NC2(c3nc(CC)no3)CC2)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)c2ccc(F)c(F)c2)N=N1
C#CCCCC1(CCCC(=O)N2CC3(CNC(=O)N3C)C2)N=N1
C#CCCC1(CCC(=O)N(CCCOC)CCCOC)N=N1
C#CCCCC1(CCCC(=O)O[C@H]2C[C@H](OCC)C2)N=N1
C#CCCC1(CCNC(=O)c2cc(F)c(F)c(OCC)c2F)N=N1
C#CCCC1(CC(=O)N2CC(C(C)(C)C)CCC2C(=O)OC)N=N1
C#CCCC1(CC(=O)N(C)c2ccc3[nH]c(C)nc3c2)N=N1
C#CCCC1(CC(=O)Nc2cccc(F)c2Cn2cccc(C)c2=O)N=N1
C#CCCCC1(CCCC(=O)NCC(F)(F)c2[nH]nc3c2CCCC3)N=N1
C#CCCCC1(CCCC(=O)N[C@@H]2CCOc3c(C)cc(C)cc32)N=N1
C#CCCC1(CC(=O)OCc2nc(OCc3ccccc3)c(C)s2)N=N1
C#CCCC1(CCSc2nnc(-c3ccccc3)n2-c2ccc(OC)cc2)N=N1
