C#CCCC1(CC(=O)NS(=O)(=O)c2ccco2)N=N1
C#CCCC1(CCCNS(=O)(=O)N2CCC(COC(C)=O)CC2)N=N1
C#CCCC1(CC(=O)N2CCOc3cccc(O)c3C2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(OC(C)c3ccccc3)cc2)N=N1
C#CCCC1(CCC(=O)N(C)[C@@H](CC(C)C)C(N)=O)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc([C@@H]3CC[C@@H](C(=O)OC)C3)cc2)N=N1
C#CCCC1(CC(=O)NCC(c2ccccc2Cl)N(C)C)N=N1
C#CCCCC1(CCCC(=O)Nc2ccccc2CN(CC)C(C)=O)N=N1
C#CCCCC1(CCCC(=O)Nc2cncc(C(F)(F)F)c2)N=N1
C#CCCC1(CCNC(=O)c2ccc(C(F)(F)F)cc2CC)N=N1
C#CCCC1(CCCNC(=O)C23CCCC(CO2)C3)N=N1
C#CCCC1(CCCNC(=O)CCC(=O)N(C)C2CCN(CC)CC2)N=N1
C#CCCCC1(CCCC(=O)N(Cc2ccccc2)C(C)C(O)C(F)(F)F)N=N1
C#CCCC1(CCCNC(=O)CCc2c(C)nc3[nH]n(C)c(=O)c3c2C)N=N1
C#CCCC1(CC(=O)NCCc2ccc([N+](=O)[O-])cc2Br)N=N1
C#CCCC1(CCC(=O)OC2C3CC4C(=O)OC2C4C3)N=N1
C#CCCC1(CC(=O)NCc2ccc(S(=O)(=O)Nc3nccs3)cc2)N=N1
C#CCCC1(CC(=O)N2C[C@H]3C(=O)OCC[C@H]3C2)N=N1
C#CCCCC1(CCCC(=O)NS(=O)(=O)c2ccc(SC)cc2)N=N1
C#CCCC1(CCC(=O)N[C@H](C)Cc2ccc3c(c2)OCCO3)N=N1
C#CCCC1(CCOC(=O)c2nn(-c3ccc(F)cc3)c3c2CCCC3)N=N1
C#CCCC1(CCC(=O)Oc2cc(C)c(C)c(C(=O)OC)c2)N=N1
C#CCCC1(CCCNC(=O)c2[nH]nc3c2CCC3(C)C)N=N1
C#CCCCC1(CCCC(=O)N(Cc2ccc(Cl)c(Cl)c2)CC(C(C)C)N(C)C)N=N1
C#CCCC1(CCOC(=O)c2ccccc2Cn2cncn2)N=N1
C#CCCC1(CCCNC(=O)C2CCN(c3ccccc3F)C2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(CO)(C(C)(C)C)C2)N=N1
C#CCCCC1(CCCC(=O)N2CC[C@@H](CC(=O)OC)[C@@H](C=C)C2)N=N1
C#CCCC1(CC(=O)OC2CCCCC(c3ccc(OC)cc3)C2)N=N1
C#CCCC1(CCCNC(=O)[C@H](CO)NC(=O)C(C)C)N=N1
C#CCCCC1(CCCC(=O)NCC(F)(F)c2cccc(Br)c2)N=N1
C#CCCCC1(CCCC(=O)N(C)CC2CCCCC23CCC3)N=N1
C#CCCC1(CCNC(=O)CC(OCC)C(=C)C)N=N1
C#CCCC1(CC(=O)OCC2(C(=O)OCC)CCOCC2)N=N1
C#CCCCC1(CCCC(=O)NCC2(C3(O)CCOCC3)CC2)N=N1
C#CCCC1(CCOC(=O)C(NC(=O)OC(C)(C)C)c2ccccc2I)N=N1
C#CCCC1(CC(=O)NCC2(C(O)c3ccccc3)CC2)N=N1
C#CCCCC1(CCCC(=O)N(C)C(CC#N)C(F)(F)F)N=N1
C#CCCC1(CCCNC(=O)CCSc2ccccc2Cl)N=N1
C#CCCC1(CC(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)CC2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccccc2CC(=O)NC)N=N1
C#CCCCC1(CCCC(=O)N(Cc2ccc(C)cc2)c2ccccc2)N=N1
C#CCCC1(CCNC(=O)CCc2nnc(C(F)F)o2)N=N1
C#CCCC1(CCCNC(=O)c2nc(C)n3ccccc23)N=N1
C#CCCC1(CC(=O)NC(Cc2ccccc2)C(=O)NCc2ccccc2)N=N1
C#CCCC1(CCCNC(=O)C2Cc3ccccc3C(C)(C)C2)N=N1
C#CCCC1(CCNC(=O)c2c(C)c(C3CC3)nc3ccc(Br)cc23)N=N1
C#CCCC1(CC(=O)NCc2cc(OC)ccc2F)N=N1
C#CCCC1(CC(=O)NCC(c2ccc(C)cc2)N2CCCC2)N=N1
C#CCCC1(CCCNC(=O)Cc2ccc(OC)c(OC)c2OC)N=N1
C#CCCC1(CC(=O)NC(CN(C)C)C(=O)OCC)N=N1
C#CCCC1(CCC(=O)NCCCCOc2ccc(C)cc2)N=N1
C#CCCCC1(CCCC(=O)NCCc2cc(Br)ccc2Br)N=N1
C#CCCC1(CCC(=O)NN(CC(F)F)C(=O)OC(C)(C)C)N=N1
C#CCCC1(CCNC(=O)C23CC4CC(C2)C(=O)C(C4)C3)N=N1
C#CCCC1(CCOC(=O)c2cccc(S(=O)(=O)N(C)C(C)C)c2)N=N1
C#CCCC1(CCCNS(=O)(=O)c2ccc(OC)c(F)c2C)N=N1
C#CCCC1(CCC(=O)OCCOc2ccccn2)N=N1
C#CCCCC1(CCCC(=O)N2C[C@@H]3C[C@H](C2)[C@@H](N)[C@H]3C(=O)OC)N=N1
C#CCCC1(CCCNC(=O)c2cc(C)n(-c3ccc(Cl)c(Cl)c3)n2)N=N1
C#CCCCC1(CCCC(=O)OCC2CC(NC(=O)OC(C)(C)C)(C(=O)OC)C2)N=N1
C#CCCCC1(CCCC(=O)NCC2CN(C(=O)OC(C)(C)C)CCC23CCOC3)N=N1
C#CCCCC1(CCCC(=O)NC2Cc3ccc(Br)cc3NC2=O)N=N1
C#CCCCC1(CCCC(=O)NC(Cc2ccccc2)C2CC2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(C3CCCCN3C(C)=O)n2C)N=N1
C#CCCC1(CCC(=O)NCc2ccc(CC3CC3)cc2)N=N1
C#CCCC1(CCCNC(=O)CCc2ccsc2Br)N=N1
C#CCCC1(CCNC(=O)C2CCCn3cc(C(C)(C)C)nc32)N=N1
C#CCCC1(CC(=O)N2CC[C@@H](N)[C@H]2C)N=N1
C#CCCC1(CCCNC(=O)C2=C(c3ccccc3)N3CCS(=O)(=O)N=C3S2)N=N1
C#CCCC1(CCCNC(=O)Cc2ncn3c2CCCC3)N=N1
C#CCCC1(CCC(=O)Nc2ccc(OCc3cccc(F)c3)c(F)c2)N=N1
C#CCCC1(CCCNC(=O)CCc2cncc3ccccc23)N=N1
C#CCCC1(CCCNC(=O)C(C)OCC2CC2)N=N1
C#CCCC1(CCC(=O)N(Cc2ccncc2)C2COC2)N=N1
C#CCCC1(CC(=O)NC2CC(c3ccc(C(F)(F)F)cc3)C2)N=N1
C#CCCCC1(CCCC(=O)NC[C@H]2CCC[C@@H](CF)C2)N=N1
C#CCCC1(CCCNS(=O)(=O)c2cccc(N3CCN(C(=O)OC(C)(C)C)CC3)c2)N=N1
C#CCCC1(CCOC(=O)C23CC(CC(F)F)(C2)C3)N=N1
C#CCCC1(CCC(=O)NCCc2cn3cc(Br)cc(C)c3n2)N=N1
C#CCCC1(CC(=O)NC2CC(O)C23CCC3)N=N1
C#CCCC1(CCC(=O)Nc2cccc(N(C)C)n2)N=N1
C#CCCC1(CCOC(=O)c2cc(C)c(=O)[nH]n2)N=N1
C#CCCC1(CCOC(=O)c2cn(-c3ccc(Br)cc3)nn2)N=N1
C#CCCCC1(CCCC(=O)C(C#N)C(=O)Nc2cc(Cl)cc(Cl)c2)N=N1
C#CCCCC1(CCCC(=O)NCC2(N3CCN(c4ccccc4)CC3)CCOCC2)N=N1
C#CCCCC1(CCCC(=O)NCCNc2ccccc2[N+](=O)[O-])N=N1
C#CCCC1(CCC(=O)NCc2cncn2C)N=N1
C#CCCC1(CCC(=O)NCc2cc(C)ccc2O)N=N1
C#CCCC1(CCNC(=O)C23CSCC2C3(F)F)N=N1
C#CCCC1(CC(=O)NCC2(C(=O)O)CCCO2)N=N1
C#CCCC1(CCC(=O)N(C)[C@H]2c3ccccc3C[C@H]2O)N=N1
C#CCCC1(CCC(=O)N2CC(COC)C3(CCCC3)C2)N=N1
C#CCCC1(CCC(=O)NC(CN2CCc3ccccc32)C(=O)OC)N=N1
C#CCCC1(CCC(=O)Nc2cccc(-c3nnc(C)n3C)c2)N=N1
C#CCCC1(CC(=O)N2CCC(c3ccc(S(N)(=O)=O)cc3)CC2)N=N1
C#CCCCC1(CCCC(=O)Nc2nc(-c3ccc4c(c3)OCCO4)cs2)N=N1
C#CCCC1(CC(=O)Oc2ccccc2C(=O)N2CCOCC2)N=N1
C#CCCCC1(CCCC(=O)OCc2cc(Br)cnc2N(C)C)N=N1
C#CCCC1(CCCNS(=O)(=O)CC2(CC(F)F)CCC2)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)c2cc([N+](=O)[O-])c(N)cc2Br)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(-c3nc4ccccc4s3)o2)N=N1
C#CCCC1(CC(=O)N2CCc3ccccc3C2C(N)=O)N=N1
C#CCCCC1(CCCC(=O)OCCCC=C)N=N1
C#CCCC1(CC(=O)NCC(C)(C)CC(F)(F)F)N=N1
C#CCCC1(CC(=O)NCc2cn(-c3cccc(OC)c3)nn2)N=N1
C#CCCC1(CCC(=O)OCCCC=CC(C)C)N=N1
C#CCCC1(CCC(=O)N(C)Cc2ccn(CC)n2)N=N1
C#CCCC1(CCOC(=O)c2sc(Cc3ccccc3)nc2-c2ccccc2)N=N1
C#CCCC1(CCC(=O)OCc2ccc(-n3cccn3)cc2C)N=N1
C#CCCC1(CCNC(=O)c2cnn(-c3ccncc3)c2C(F)F)N=N1
C#CCCC1(CCNC(=O)CCCC(=O)n2ccc3ccccc32)N=N1
C#CCCC1(CC(=O)N(C)CCCCC=C)N=N1
C#CCCC1(CCC(=O)NCc2c[nH]nc2C(=O)O)N=N1
C#CCCC1(CC(=O)N2CCN(C(C#N)C(C)C)CC2)N=N1
C#CCCC1(CCOC(=O)CNC(=O)C2c3ccccc3C(=O)N2Cc2ccccc2)N=N1
C#CCCC1(CCC(=O)C(C#N)C(=O)Nc2ccc(CCCC)cc2)N=N1
C#CCCC1(CC(=O)N(Cc2ccccc2)C(CC)CO)N=N1
C#CCCC1(CCOC(=O)c2cnn3c2OCCC3)N=N1
C#CCCC1(CC(=O)OC(CC)C(C)C)N=N1
C#CCCC1(CCC(=O)N2CC(=O)NCC2C(C)(C)C)N=N1
C#CCCC1(CC(=O)NC2CC(C)n3ncnc32)N=N1
C#CCCC1(CC(=O)NC(C)c2ccc(Cl)c3ccccc23)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc3c(c2)N(C)C(=O)CO3)N=N1
C#CCCC1(CC(=O)N2CCc3ccnc(C(=O)O)c3C2)N=N1
C#CCCCC1(CCCC(=O)NC2CCN(C3CCCC3)CC2)N=N1
