C#CCCCC1(CCCC(=O)NC(C(=O)O)C(C)O)N=N1
C#CCCCC1(CCCC(=O)NC(COC)c2ccnn2C)N=N1
C#CCCCC1(CCCC(=O)OCCc2cscc2Br)N=N1
C#CCCC1(CC(=O)NC2CCOc3cc(Cl)ccc32)N=N1
C#CCCC1(CCC(=O)N2CCCC(C3CN(C(=O)OC(C)(C)C)C3)C2)N=N1
C#CCCC1(CCNC(=O)Cc2cc(C(F)(F)F)n[nH]2)N=N1
C#CCCC1(CC(=O)NC2CCN(C(=O)OC(C)(C)C)C2c2ccccc2)N=N1
C#CCCC1(CC(=O)NCc2cncc(CC)c2)N=N1
C#CCCC1(CCOC(=O)C2(c3ccc(C(C)(C)C)cc3)CCCCC2)N=N1
C#CCCC1(CC(=O)N2CCCN(c3ccncc3)CC2)N=N1
C#CCCC1(CCOC(=O)CN2CCN(S(C)(=O)=O)CC2)N=N1
C#CCCC1(CCCNC(=O)[C@@H](O)c2ccc(C)cc2)N=N1
C#CCCC1(CCCNC(=O)c2cnn(C)c2-n2c(C)ccc2C)N=N1
C#CCCC1(CC(=O)NC2CC(CN)C2)N=N1
C#CCCC1(CCCNC(=O)c2cn(CCN)nn2)N=N1
C#CCCC1(CCCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)N=N1
C#CCCC1(CCNC(=O)c2ccc(OC)c(OCCNC(=O)OC(C)(C)C)c2)N=N1
C#CCCC1(CCC(=O)N[C@@H](C)C(=O)OCCC)N=N1
C#CCCCC1(CCCC(=O)OCc2ccc(Cl)nc2C)N=N1
C#CCCC1(CCCNS(=O)(=O)c2c(C)c(C)cc(C)c2C)N=N1
C#CCCC1(CC(=O)Nc2ccc(Oc3cccnn3)cc2)N=N1
C#CCCC1(CCNC(=O)[C@H]2CC[C@H](NC(=O)CCC3CCCO3)CC2)N=N1
C#CCCC1(CC(=O)NC[C@H]2C[C@H](NC(=O)OC(C)(C)C)C[C@H]2O)N=N1
C#CCCC1(CCC(=O)N2CCN(C(C)(C)C)CC2)N=N1
C#CCCC1(CCC(=O)NC(C(=O)N(C)C)C(C)C)N=N1
C#CCCC1(CCCNC(=O)c2ccnc3c2CCN3)N=N1
C#CCCC1(CCC(=O)N(C)Cc2c(OC)ccc3ccccc23)N=N1
C#CCCC1(CCC(=O)N(C)Cc2ccc(OCC)cc2)N=N1
C#CCCC1(CCCNC(=O)C2CC(c3ccc(O)cc3)C2)N=N1
C#CCCC1(CC(=O)N(CCCn2ccnc2)Cc2ccccc2OCC)N=N1
C#CCCC1(CCC(=O)NCc2cn3cc(C(F)(F)F)cc(Br)c3n2)N=N1
C#CCCC1(CCOC(=O)C2(c3ccc(C(C)(C)C)cc3)CCCC2)N=N1
C#CCCC1(CCNC(=O)c2c(F)ccc(S(=O)(=O)CC3CC3)c2F)N=N1
C#CCCC1(CCCNC(=O)C2CCCCN2S(=O)(=O)c2ccc([N+](=O)[O-])cc2)N=N1
C#CCCC1(CCNC(=O)c2ccc(S(=O)(=O)Nc3ccc(OC)cc3)cc2)N=N1
C#CCCCC1(CCCC(=O)OCCCc2ccccc2N(C)C)N=N1
C#CCCC1(CC(=O)NC(C)c2ccc(OC)nc2C)N=N1
C#CCCC1(CCC(=O)N[C@H]2C[C@@](C(=O)O)(C(F)F)C2)N=N1
C#CCCC1(CC(=O)N2CC(c3nc(C(=O)OC)c(C)o3)C2)N=N1
C#CCCC1(CCCNC(=O)C(N)Cc2cccnc2F)N=N1
C#CCCC1(CC(=O)NCc2ccc(N3CCN(c4ccccc4)CC3)nc2)N=N1
C#CCCC1(CCC(=O)OC(c2ccccc2)C(C)(C)C(=O)OCC)N=N1
C#CCCC1(CC(=O)Nc2cc(C(F)F)c(Br)c(C(F)F)c2)N=N1
C#CCCC1(CCOC(=O)C23CCCN(C2)S(=O)(=O)C3)N=N1
C#CCCC1(CC(=O)OCC(Cc2ccc(C(=O)OC)o2)NC(=O)OC(C)(C)C)N=N1
C#CCCC1(CCNC(=O)c2ccc(F)cc2I)N=N1
C#CCCC1(CCOC(=O)c2cccc(C(=O)NCC3CC3)c2)N=N1
C#CCCC1(CC(=O)Nc2ccc(OC)c(S(=O)(=O)N3CCCCC3)c2)N=N1
C#CCCCC1(CCCC(=O)N[C@@H](CO)CNC(=O)OC(C)(C)C)N=N1
C#CCCC1(CCC(=O)N2C[C@@H](O)[C@H](CCC)C2)N=N1
C#CCCC1(CC(=O)Nc2cnc(N3CCOCC3)c(Br)c2)N=N1
C#CCCC1(CC(=O)NNC(=O)c2ccc(CN(C)S(=O)(=O)c3ccc(C)cc3)cc2)N=N1
