C#CCCC1(CCC(=O)OCC(C)CCC)N=N1
C#CCCC1(CCCNC(=O)c2cc(C)n(-c3nc(C)cc(C)n3)n2)N=N1
C#CCCC1(CC(=O)O[C@H]2C(=O)OCC2(C)C)N=N1
C#CCCCC1(CCCC(=O)N2CC(CC(=O)OC)OCC23CCC3)N=N1
C#CCCCC1(CCCC(=O)N(CC)C2CCOc3c(C)cc(F)cc32)N=N1
C#CCCC1(CCOC(=O)CC2CC3(CCC3)CO2)N=N1
C#CCCC1(CCC(=O)NCc2cc(OC3CCNC3)ccn2)N=N1
C#CCCC1(CC(=O)Nc2ccccc2-n2ccnc2C)N=N1
C#CCCCC1(CCCC(=O)Nc2cnc(Cl)c3ccc(Cl)cc23)N=N1
C#CCCC1(CCNC(=O)[C@@H]2C[C@H]2C=C)N=N1
C#CCCC1(CCSc2nn(-c3ccccc3)c(=S)s2)N=N1
C#CCCC1(CCC(=O)N2CCC(NC(=O)OC(C)(C)C)CC23CCC3)N=N1
C#CCCC1(CC(=O)OCC2CC3CCC2C3)N=N1
C#CCCC1(CCC(=O)NC(CC)C(=O)OC)N=N1
C#CCCC1(CCOC(=O)C2CCC(=O)N(c3ccc(C)cc3)C2c2ccc(OC)c(OC)c2)N=N1
C#CCCC1(CC(=O)NCCC2COCC(C)O2)N=N1
C#CCCC1(CCNS(=O)(=O)CCC23CC4CC(CC(C4)C2)C3)N=N1
C#CCCCC1(CCCC(=O)N2Cc3ccccc3C(C(=O)OC)C2)N=N1
C#CCCC1(CCC(=O)NNc2ccc(C(=O)OC)cc2)N=N1
C#CCCC1(CC(=O)N2CC3CCC2(CO)C3)N=N1
C#CCCC1(CCC(=O)OCCC(C)C(F)F)N=N1
C#CCCC1(CCNC(=O)c2cc(OC)c(Cl)cc2Cl)N=N1
C#CCCC1(CCC(=O)OCC2COC(=O)O2)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)c2ccc(Cl)cc2Br)N=N1
C#CCCC1(CC(=O)NC(CC(=O)O)c2ccccc2)N=N1
C#CCCC1(CCCNC(=O)c2cc(C3CC3)nc3ccc(C)cc23)N=N1
C#CCCC1(CCNC(=O)c2c(C)nn(C)c2C(F)(F)F)N=N1
C#CCCCC1(CCCC(=O)OC2CC(OCc3ccccc3)C2)N=N1
C#CCCC1(CC(=O)N2CCC(F)(c3ccc(F)cc3)C2)N=N1
C#CCCC1(CCC(=O)Nc2ccc(C3(C(F)(F)F)CC3)cc2)N=N1
C#CCCCC1(CCCC(=O)NC(C(=O)O)c2ccc(OC)c(Cl)c2)N=N1
C#CCCCC1(CCCC(=O)NS(=O)(=O)c2ccccc2NCC)N=N1
C#CCCC1(CCCNS(=O)(=O)c2cn(CC)nc2C(F)(F)F)N=N1
C#CCCC1(CC(=O)NCc2cn(C3CCC3)nn2)N=N1
C#CCCCC1(CCCC(=O)N[C@H](CCC2CCCCC2)C(=O)OC)N=N1
C#CCCC1(CC(=O)N2C[C@@]3(C)C[C@@]3(CO)C2)N=N1
C#CCCC1(CCCNC(=O)c2cc3c(s2)CCC(C(C)C)C3)N=N1
C#CCCC1(CCCNC(=O)C(CCCC)(c2ccccc2)c2ccccc2)N=N1
C#CCCC1(CCNC(=O)C(C#N)=Cc2ccc(N(C)C)cc2)N=N1
C#CCCC1(CCC(=O)NC2C3COCC2CC(C(=O)O)C3)N=N1
C#CCCCC1(CCCC(=O)N2CCC(OC(C)(C)C)CC2)N=N1
C#CCCC1(CCC(=O)N2CCNCCC23CC3)N=N1
C#CCCC1(CC(=O)N2CCc3[nH]c4ccc(Br)cc4c3C2)N=N1
C#CCCC1(CC(=O)Nc2cnc(OCCCOC)nc2)N=N1
C#CCCC1(CCOC(=O)c2cc(C)n(-c3ccc(F)cc3)c2C)N=N1
C#CCCCC1(CCCC(=O)NCCOc2ccccc2Br)N=N1
C#CCCC1(CC(=O)Nc2ccc(C(=O)NCC(=O)O)cc2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(CSC)o2)N=N1
C#CCCC1(CCNC(=O)c2ccc(-c3cccc(C(F)(F)F)c3)o2)N=N1
C#CCCC1(CCC(=O)N2CCC[C@H]2CC(=O)O)N=N1
C#CCCC1(CC(=O)OCc2oc3ccccc3c2Br)N=N1
C#CCCC1(CCC(=O)N2CCN(c3nccc(N)n3)CC2)N=N1
C#CCCCC1(CCCC(=O)NS(=O)(=O)Cc2cc(C)ccc2C)N=N1
C#CCCCC1(CCCC(=O)NC(CC(=O)O)C(F)(F)F)N=N1
C#CCCC1(CCNC(=O)[C@@H]2C[C@@H]3OCC[C@@H]3N2)N=N1
C#CCCC1(CCC(=O)OCCCN2C[C@H](C)O[C@H](C)C2)N=N1
C#CCCC1(CC(=O)N2CCN(c3cc(C)nc(C(C)C)n3)CC2)N=N1
C#CCCC1(CCNC(=O)C(C)NC(=O)CC)N=N1
C#CCCC1(CCSc2nc3sc4c(c3c(=O)n2CCC)CCC(C(C)(C)CC)C4)N=N1
C#CCCCC1(CCCC(=O)OCc2cccc(-c3cscn3)c2)N=N1
C#CCCC1(CCNC(=O)C2Cc3ccccc3CN2S(=O)(=O)c2ccc3c(c2)OCCO3)N=N1
C#CCCC1(CC(=O)Nc2cccc(-c3cn4cccnc4n3)c2)N=N1
C#CCCCC1(CCCC(=O)N[C@H]2CC[C@H](O)CC2)N=N1
C#CCCC1(CC(=O)N2CCCC2(C)Cc2ccc(F)c(F)c2)N=N1
C#CCCC1(CC(=O)N2CCN(Cc3nc[nH]n3)CC2)N=N1
C#CCCCC1(CCCC(=O)OCC2(C(=O)OC)COC2)N=N1
C#CCCC1(CC(=O)OCC2CCCCS2(=O)=O)N=N1
C#CCCC1(CCSc2ccc(C#N)c(C(F)(F)F)c2)N=N1
C#CCCC1(CCNC(=O)c2nn(C)c3c2CC(F)(F)CC3)N=N1
C#CCCC1(CC(=O)NC(Cc2ccc(F)cc2)c2ccc(F)cc2)N=N1
C#CCCC1(CCC(=O)N2CCO[C@@H]3CCCC[C@H]32)N=N1
C#CCCC1(CCCNC(=O)Cn2c(C)cc(C)nc2=O)N=N1
C#CCCC1(CCCNC(=O)CCC(c2ccccc2)N(C)C)N=N1
C#CCCC1(CC(=O)NCCOc2ncc(C(F)(F)F)cc2Cl)N=N1
C#CCCC1(CC(=O)NCc2nnc(C3COCCN3C)[nH]2)N=N1
C#CCCC1(CCSc2nnc(-c3ccc(F)cc3)n2-c2ccc(C)cc2)N=N1
C#CCCC1(CC(=O)N2CC(N(CCOC)CCOC)C2)N=N1
C#CCCC1(CCOC(=O)CCc2ccccc2C(=O)OC)N=N1
C#CCCC1(CCC(=O)NC(CCO)c2cccc(C(F)(F)F)c2)N=N1
C#CCCC1(CC(=O)OCc2c(F)cccc2F)N=N1
C#CCCC1(CCCNC(=O)c2cnn(C)c2S(C)(=O)=O)N=N1
C#CCCC1(CC(=O)NCC2(COC)CCOCC2)N=N1
C#CCCC1(CCNC(=O)[C@@H]2OC[C@@H]3CCC[C@H]2C3)N=N1
C#CCCC1(CCC(=O)N2CCOC(C)(C(F)F)C2)N=N1
C#CCCC1(CCOC(=O)C2(c3ccc(C(C)C)cc3)CCCC2)N=N1
C#CCCCC1(CCCC(=O)NC23CCC(F)(CC2)C3)N=N1
C#CCCC1(CC(=O)NCc2nc(CC)cs2)N=N1
C#CCCCC1(CCCC(=O)NCC(=O)Nc2ccc(C#N)cc2)N=N1
C#CCCC1(CC(=O)N(C)C2CCN(c3cc(OC)cc(OC)c3)C2=O)N=N1
C#CCCC1(CCC(=O)N2C(C(=O)OC)CCC23CCC3)N=N1
C#CCCC1(CC(=O)NC2CCN(C3CCN(C(=O)OC(C)(C)C)CC3)CC2)N=N1
C#CCCCC1(CCCC(=O)NCC(OCCO)C(C)(C)C)N=N1
C#CCCC1(CCC(=O)NC2CCN(C(C)c3ccccc3)CC2)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(NC(=O)C(C)C)cc2)N=N1
C#CCCCC1(CCCC(=O)N2CCCC(C)(CO)C2)N=N1
C#CCCC1(CCCNC(=O)c2ccc3ccc(Br)cc3c2)N=N1
C#CCCC1(CCCNS(=O)(=O)c2ccsc2C#N)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(O)c(C)c2)N=N1
C#CCCC1(CCCNC(=O)[C@H](CCC2CCCCC2)NC(=O)OC(C)(C)C)N=N1
C#CCCC1(CCCNC(=O)CSc2nnc(C)n2-c2ccccc2OC)N=N1
C#CCCC1(CCC(=O)NCc2cccnc2Oc2cccc(F)c2)N=N1
C#CCCC1(CCCNC(=O)CC2CCC(=O)N2)N=N1
C#CCCC1(CCC(=O)OCC2CCNC2=O)N=N1
C#CCCC1(CCC(=O)NC2(C(C)=O)CC2)N=N1
C#CCCCC1(CCCC(=O)NCc2c(C)c(C)c(C)c(C)c2C)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)c2cc(C)sc2C)N=N1
C#CCCC1(CCNC(=O)c2c3c(nc4ccccc24)C(=Cc2ccco2)CCC3)N=N1
C#CCCC1(CCNC(=O)C2[C@H]3CCN(C(=O)OC(C)(C)C)C[C@@H]23)N=N1
C#CCCC1(CCCNC(=O)c2cnn(C3CCCC3)c2CC)N=N1
C#CCCC1(CCNC(=O)C(CC)CC(F)F)N=N1
