C#CCCC1(CCCNS(=O)(=O)CC2(OC)CCCC2)N=N1
C#CCCC1(CCNC(=O)CCc2ccnc(C)n2)N=N1
C#CCCC1(CCNC(=O)CC2CCN(C(=O)OC(C)(C)C)CC2F)N=N1
C#CCCC1(CC(=O)NNc2ncnc3ccsc23)N=N1
C#CCCC1(CCOC(=O)c2c(C(F)(F)F)nc3ccccn23)N=N1
C#CCCC1(CCNS(=O)(=O)c2cc(C(C)=O)ccc2OCC)N=N1
C#CCCCC1(CCCC(=O)NCc2ccccc2N(C)CC)N=N1
C#CCCC1(CCC(=O)NCc2cc(C(N)=O)c3n2CCOC3)N=N1
C#CCCC1(CC(=O)NCc2cc(C(=O)O)[nH]n2)N=N1
C#CCCC1(CCNS(=O)(=O)c2cc(C#N)ccc2C)N=N1
C#CCCC1(CCNC(=O)C2CCCC23CC3)N=N1
C#CCCCC1(CCCC(=O)NC(c2cccc(C(F)(F)F)c2)C2CC2)N=N1
C#CCCC1(CCCNC(=O)c2cc(C(=O)O)cc(C(F)(F)F)c2)N=N1
C#CCCC1(CCC(=O)N2CCCCCC2(C)C)N=N1
C#CCCC1(CCNC(=O)c2cncc(OC(F)(F)F)c2)N=N1
C#CCCCC1(CCCC(=O)N(C)Cc2ccc(S(N)(=O)=O)cc2)N=N1
C#CCCC1(CCNC(=O)CC(C)NC(N)=O)N=N1
C#CCCCC1(CCCC(=O)N2CCN(C(C)CC(=O)OC)CC2)N=N1
C#CCCCC1(CCCC(=O)N2CC(Cc3ccccn3)C2)N=N1
C#CCCC1(CCCNS(=O)(=O)CCOCc2ccccc2)N=N1
C#CCCC1(CCCNC(=O)C2CCC3(CC2)NC(=O)NC3=O)N=N1
C#CCCCC1(CCCC(=O)N2CCC3(CC2)COCC(=O)N3)N=N1
C#CCCC1(CCC(=O)NC2CCN(C(=O)c3cccs3)CC2)N=N1
C#CCCC1(CCC(=O)N[C@@H]2C[C@]23CCOc2ccccc23)N=N1
C#CCCC1(CCNC(=O)CN2CCC(N)CC2)N=N1
C#CCCCC1(CCCC(=O)N2CCO[C@@H](C)[C@@H]2C)N=N1
C#CCCC1(CC(=O)N2[C@H](C)COC[C@@H]2C(=O)OC)N=N1
