C#CCCC1(CCOC(=O)c2cc(C)n(CC)n2)N=N1
C#CCCC1(CC(=O)NCc2cc(C)ccc2C)N=N1
C#CCCC1(CCSC2CCN(C(C)=O)CC2)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(N3CCCCC3)cc2)N=N1
C#CCCC1(CCC(=O)N(C)CCN2CCCC2)N=N1
C#CCCC1(CCCNS(=O)(=O)C2CCN(C(=O)OC(C)(C)C)CC2)N=N1
C#CCCC1(CCNC(=O)CC2(C(=C)F)CNC2)N=N1
C#CCCCC1(CCCC(=O)N2CCN(C(=O)C3CC3)C3(CCOCC3)CC2)N=N1
C#CCCC1(CC(=O)Nc2cc(C(C)C)nn2Cc2ccccc2)N=N1
C#CCCC1(CCNC(=O)C(O)c2cc(F)c(F)cc2F)N=N1
C#CCCC1(CCCNC(=O)c2cncc(C(C)(C)C)c2)N=N1
C#CCCC1(CC(=O)N[C@H]2C[C@@H]3C[C@@H](C(=O)OC)C[C@@H]32)N=N1
C#CCCCC1(CCCC(=O)NC(c2nccn2C)C(C)C)N=N1
C#CCCC1(CC(=O)NNC(=O)NC(C)C)N=N1
C#CCCC1(CC(=O)OC2(C#N)CN(C(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CCOC(=O)CCCCCCCC=CCC=CCCCCC)N=N1
C#CCCC1(CCC(=O)N2CC(Cc3ccc(OCC)cc3)C2)N=N1
C#CCCCC1(CCCC(=O)N[C@H](C(=O)OC)c2ccc(Cl)cc2)N=N1
C#CCCC1(CC(=O)OCC2(Cc3ccccc3)CC2)N=N1
C#CCCC1(CCCNS(=O)(=O)c2ccc(C(F)(F)C(F)(F)F)cc2)N=N1
C#CCCCC1(CCCC(=O)OC(C)c2nccs2)N=N1
C#CCCCC1(CCCC(=O)NC(CO)c2ccc(C(C)C)cc2)N=N1
C#CCCCC1(CCCC(=O)N2CCOc3ccc(OC)cc3C2)N=N1
C#CCCC1(CCC(=O)NC[C@H]2C(=O)N(C)[C@@H](C)C[C@H]2C)N=N1
C#CCCC1(CC(=O)N2C[C@@H]3OC(=O)N(C)[C@@H]3C2)N=N1
C#CCCC1(CC(=O)NC(Cc2cc(I)ccc2F)C(=O)OCC)N=N1
C#CCCC1(CC(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2NCCCC)N=N1
C#CCCC1(CC(=O)NC23CC(CN)(C2)C3)N=N1
C#CCCCC1(CCCC(=O)OCc2ccc(N(C)C)c([N+](=O)[O-])c2)N=N1
C#CCCC1(CCCNC(=O)C2CCC(OC(F)(F)F)C2)N=N1
C#CCCC1(CCC(=O)Nc2cc(NC(=O)c3ccccc3)ccc2C)N=N1
C#CCCC1(CCC(=O)NC2CCC(CC(C)C)C2)N=N1
C#CCCC1(CCC(=O)N(C)CC2CCCS2)N=N1
C#CCCC1(CCC(=O)N2CC(C)CC(C)C2C)N=N1
C#CCCC1(CC(=O)N2CCCNCC2C(=O)OC)N=N1
C#CCCC1(CCNC(=O)C23CCC(C2)C3)N=N1
C#CCCCC1(CCCC(=O)NC(C(=O)OC)c2c(F)cc(OC)cc2F)N=N1
C#CCCC1(CC(=O)OC(C)c2cnc(C3OCCO3)s2)N=N1
C#CCCC1(CCCNC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)OC)N=N1
C#CCCC1(CCC(=O)N[C@H]2C[C@@H](C(C)(C)C)NC2=O)N=N1
C#CCCC1(CCC(=O)N[C@@H](C(=O)OC)c2ccc(OC)cc2)N=N1
C#CCCC1(CCC(=O)NC2CCOc3cc(Cl)ccc32)N=N1
C#CCCC1(CCNC(=O)C2(S(C)(=N)=O)CCC2)N=N1
C#CCCC1(CC(=O)N2CCC(C(=O)OCC)C23COC3)N=N1
C#CCCCC1(CCCC(=O)NC(c2ccc(OC)cc2)c2ccccc2Cl)N=N1
C#CCCC1(CCOC(=O)C(C)n2nc([N+](=O)[O-])cc2C)N=N1
C#CCCC1(CCC(=O)N[C@H](C)CN2CC(C)(O)C2)N=N1
C#CCCC1(CCC(=O)NNC(=O)c2ccc(Br)s2)N=N1
C#CCCC1(CCC(=O)N2CCN(Cc3nnnn3-c3ccccc3)CC2)N=N1
C#CCCC1(CCC(=O)NC[C@H](C)N(Cc2ccccc2)C(=O)CCC2(CCC#C)N=N2)N=N1
C#CCCC1(CC(=O)N2CC(F)(F)C[C@H]2C(C)(C)O)N=N1
C#CCCC1(CC(=O)N2CCCC(F)(F)CC2)N=N1
C#CCCC1(CCC(=O)OCc2cn([C@@H]3COC[C@H]3OC)nn2)N=N1
C#CCCC1(CCNC(=O)C(c2cccc(Cl)c2)N(C)C)N=N1
C#CCCC1(CC(=O)OC(c2cccc(C(F)(F)F)c2)C(F)(F)F)N=N1
C#CCCC1(CCC(=O)Nc2cc(I)c(Br)cc2C)N=N1
C#CCCC1(CCNC(=O)OC2CCOCC2)N=N1
C#CCCCC1(CCCC(=O)N[C@H](C)C(C)(C)C(=O)OC)N=N1
C#CCCC1(CC(=O)N2CCCC2c2ccc(N(C)C)nn2)N=N1
C#CCCC1(CC(=O)Nc2ccc(OCC3CC3)cc2F)N=N1
C#CCCC1(CCCNC(=O)C2CCN(S(=O)(=O)N(C)C)CC2)N=N1
C#CCCC1(CC(=O)Nc2ncc(CC(=O)OCC)s2)N=N1
C#CCCCC1(CCCC(=O)Nc2cc(CC3CC3)n[nH]2)N=N1
C#CCCC1(CCC(=O)NNC(=O)c2ccc3ccccc3n2)N=N1
C#CCCC1(CCNC(=O)c2[nH]n(-c3ccc([N+](=O)[O-])cc3)c(=O)c2CCO)N=N1
C#CCCC1(CCNC(=O)c2ccc(-n3ncc4ccccc43)c(Cl)c2)N=N1
C#CCCC1(CC(=O)N2CCC[C@@H]2CO)N=N1
C#CCCC1(CCCNC(=O)c2cc3ccncc3c(=O)[nH]2)N=N1
C#CCCC1(CCOC(=O)C2CC3(CCC2NC(=O)OC(C)(C)C)CC3)N=N1
C#CCCC1(CCNC(=O)C=C(C2CC2)C2CC2)N=N1
C#CCCCC1(CCCC(=O)NCC2CC3(C2)OCCO3)N=N1
C#CCCC1(CCNC(=O)CCc2cnccn2)N=N1
C#CCCCC1(CCCC(=O)N2CCCN(S(=O)(=O)c3ccc(F)cc3)CC2)N=N1
C#CCCC1(CC(=O)NNC(=O)NC2CCS(=O)(=O)C2)N=N1
C#CCCCC1(CCCC(=O)NC2C3CCOC3C2(C)C)N=N1
C#CCCCC1(CCCC(=O)N2CSCC2C(=O)N2CCSCC2)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(P(C)(C)=O)o2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(C(=O)O)C(NC(=O)C(F)(F)F)C2)N=N1
C#CCCC1(CC(=O)OC2CC3(C2)CC(C(=O)OC)C3)N=N1
C#CCCC1(CC(=O)N(C)Cc2cccc(OC)c2OC)N=N1
C#CCCCC1(CCCC(=O)N2C[C@@H](C(=O)OC(C)(C)C)[C@H](C3CC3)C2)N=N1
C#CCCC1(CCOC(=O)C23CC(CNC(=O)OC(C)(C)C)(C2)OC32CCC2)N=N1
C#CCCC1(CCOC(=O)c2oc(C)cc2C)N=N1
