C#CCCCC1(CCCC(=O)NC2(C)CCC(=O)NC2=O)N=N1
C#CCCC1(CCC(=O)N(CC(=C)C)Cc2cnn(C(C)C)c2)N=N1
C#CCCCC1(CCCC(=O)N[C@H](C(=O)N(C)C)C(C)(C)C)N=N1
C#CCCC1(CC(=O)NCC2(C(C)(F)F)CCOCC2)N=N1
C#CCCCC1(CCCC(=O)N2CCCC2c2c(OC)n(C)c3ccccc23)N=N1
C#CCCC1(CCNC(=O)CCN2CCCC2=O)N=N1
C#CCCC1(CCC(=O)N2CC[C@H]3OC(C)(C)O[C@H]3C2)N=N1
C#CCCC1(CCC(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)c(C(F)(F)F)c2)N=N1
C#CCCC1(CC(=O)Nc2nc3cccc(C)c3s2)N=N1
C#CCCC1(CCOC(=O)C2CCCc3sc(NC(=O)OC(C)(C)C)nc32)N=N1
C#CCCCC1(CCCC(=O)N2CCC(CCNC)CC2)N=N1
C#CCCC1(CCC(=O)N2CC(C)(CC(F)(F)F)C2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(OC(F)(F)F)cc2C(=O)O)N=N1
C#CCCC1(CC(=O)NCc2nc(-c3ccc(Br)cc3)n[nH]2)N=N1
C#CCCC1(CCCNC(=O)[C@@H](C(C)C)N2Cc3ccccc3C2=O)N=N1
C#CCCC1(CCCNC(=O)c2coc3c2NC(=O)CCC3)N=N1
C#CCCC1(CCCNC(=O)CS(=O)(=O)C2CCCC2)N=N1
C#CCCC1(CCNC(=O)Cc2csc(-c3ccc(CC)cc3)n2)N=N1
C#CCCC1(CCC(=O)N2CCCC(C(F)(F)C(F)(F)F)C2)N=N1
C#CCCC1(CCNC(=O)c2cc(C)n(NC(N)=O)c2C)N=N1
C#CCCC1(CCC(=O)Nc2ccc(Oc3ccc(F)cc3)c3ccncc23)N=N1
C#CCCC1(CC(=O)N(C)CCC2CCN(C3CCN(C)CC3)CC2)N=N1
C#CCCC1(CCC(=O)NCC(C)(C)CC2CCOCC2)N=N1
C#CCCC1(CCNC(=O)C2(Br)C(C)(C)C2(C)C)N=N1
C#CCCCC1(CCCC(=O)N=S(C)(=O)C(C)CC)N=N1
C#CCCC1(CCC(=O)Nc2ccc([C@@H]3CC[C@@H](NC(=O)OC(C)(C)C)C3)cc2)N=N1
C#CCCC1(CCNC(=O)C2CCC3CC3N2C(=O)OC(C)(C)C)N=N1
C#CCCC1(CCC(=O)NC(C)(C)c2ccc(Br)c(F)c2)N=N1
C#CCCC1(CCCNC(=O)CCc2nnc(C3CC3)n2-c2ccccc2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(c3ccc(C)cc3C)CC2C(=O)OC)N=N1
C#CCCC1(CCC(=O)N2CCCCC2C(F)(F)CO)N=N1
C#CCCCC1(CCCC(=O)OCCC=CBr)N=N1
C#CCCC1(CCOC(=O)c2ncoc2C2CCC2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(C3CC(=O)C3(C)C)cc2)N=N1
C#CCCC1(CCNC(=O)c2ccc(SC(F)(F)F)nc2)N=N1
C#CCCC1(CCC(=O)NCc2noc(C(F)(F)F)n2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(CCCN3CCNCC3)CC2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(OCC(=O)NC)cc2)N=N1
C#CCCC1(CCC(=O)OCC(C)(C)N2CCNC2=O)N=N1
C#CCCCC1(CCCC(=O)NCc2cccc(N3C(=O)NC(C)(C4CC4)C3=O)c2)N=N1
C#CCCC1(CCC(=O)NC(CO)C(O)c2ccc(Cl)cc2)N=N1
C#CCCC1(CCNC(=O)C=Cc2ccc(N)c(OC)c2)N=N1
C#CCCC1(CC(=O)NNc2ccccc2Br)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(-c3nc(-c4ccccc4)n[nH]3)cc2)N=N1
C#CCCCC1(CCCC(=O)Nc2cnc(C(=O)O)c(C)c2)N=N1
C#CCCC1(CCC(=O)OCc2cnc(C(C)(C)C)o2)N=N1
C#CCCCC1(CCCC(=O)OCc2cccc(OCC)n2)N=N1
C#CCCC1(CC(=O)N2CC3(CC)CC2(CO)C3)N=N1
C#CCCC1(CCSc2nc(=O)[nH]cc2F)N=N1
C#CCCC1(CC(=O)N(C)CC2COc3ccccc3O2)N=N1
C#CCCC1(CC(=O)NC(C)COc2cccc(C)c2)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)Nc2cccc(C#N)c2)N=N1
C#CCCC1(CCOC(=O)Cc2csc(NC(=O)c3ccccc3F)n2)N=N1
C#CCCC1(CCCNS(=O)(=O)N(C)CC=C)N=N1
C#CCCC1(CCC(=O)Nc2cc3cn[nH]c3cc2OC)N=N1
C#CCCCC1(CCCC(=O)N(C)Cc2nncn2C(C)C)N=N1
C#CCCC1(CC(=O)NCc2ccc3c(=O)cc[nH]c3c2)N=N1
C#CCCC1(CC(=O)N2CC3(CCC3)OCC2C(=O)OC)N=N1
C#CCCC1(CCNC(=O)c2cc(SC(F)(F)F)c[nH]2)N=N1
C#CCCC1(CCC(=O)NC(C)(COc2ccccc2)C(N)=O)N=N1
C#CCCCC1(CCCC(=O)N2CCN(Cc3ccc(OC(F)(F)F)cc3)CC2)N=N1
C#CCCC1(CCCNC(=O)C2CC(=O)N(c3ccccc3Cl)C2)N=N1
C#CCCC1(CC(=O)N2CCC([C@@H]3OCC[C@H]3N)CC2)N=N1
C#CCCC1(CC(=O)NNC(=O)c2nccnc2C)N=N1
C#CCCCC1(CCCC(=O)NC2CC3(CNC(=O)C3)C2)N=N1
C#CCCCC1(CCCC(=O)N(CCC)CCCN(C)C)N=N1
C#CCCC1(CCNC(=O)C23CCCC(C(=O)O)(CC2)C3)N=N1
C#CCCC1(CCC(=O)N[C@H](CO)CC(=O)O)N=N1
C#CCCC1(CCC(=O)N2CC(c3ncc(CCC(=O)OC)o3)C2)N=N1
C#CCCC1(CCCNC(=O)C2CCN(S(=O)(=O)c3ccc(C(=O)O)o3)CC2)N=N1
C#CCCC1(CC(=O)NCC2(c3c(F)cccc3F)CCCC2)N=N1
C#CCCC1(CCCNC(=O)c2cnc3ccccc3c2Br)N=N1
C#CCCCC1(CCCC(=O)OC2CC(CC(=O)OC)C2)N=N1
C#CCCC1(CC(=O)NCCCCOCCOC)N=N1
C#CCCC1(CC(=O)NC2CCN(CC(=O)NC3CC3)CC2)N=N1
C#CCCC1(CCCNC(=O)C2(c3cccc(C(F)(F)F)c3)CC2)N=N1
C#CCCCC1(CCCC(=O)NCCCCCc2nc(-c3ccc(O)c(OC)c3)no2)N=N1
C#CCCC1(CC(=O)NCCc2noc(=O)[nH]2)N=N1
C#CCCC1(CCC(=O)NCc2ccc(C(C)CC)cc2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(OC(F)F)CC2)N=N1
C#CCCC1(CCC(=O)N(C)C2CC(OC)C23CCC3)N=N1
C#CCCC1(CCC(=O)N[C@H]2CCOc3ccc(O)cc32)N=N1
C#CCCC1(CCC(=O)N2CC(C(=O)O)OCC2(C)C)N=N1
C#CCCC1(CC(=O)Nc2nccc3ccc(C)cc23)N=N1
C#CCCC1(CC(=O)N(Cc2c(F)cccc2F)C2CC2)N=N1
C#CCCC1(CCCNC(=O)CC(CC)Cc2ccccc2)N=N1
C#CCCC1(CCCNC(=O)C2(CC(C)C)CCN(C(=O)OC(C)(C)C)CC2)N=N1
C#CCCCC1(CCCC(=O)N2CCCC3(CCCCN3C(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CCNC(=O)CC2(C)CCN(C(=O)OC(C)(C)C)C2)N=N1
C#CCCCC1(CCCC(=O)N2CCN(c3cccs3)C(=O)C2)N=N1
C#CCCC1(CCC(=O)NC2CCC(=O)N(CC(=O)OC(C)(C)C)C2=O)N=N1
C#CCCCC1(CCCC(=O)Nc2nc(C)c(-c3nnc(S)n3CC=C)s2)N=N1
