C#CCCC1(CCNC(=O)c2ccc3cc(C#N)ccc3c2)N=N1
C#CCCCC1(CCCC(=O)NC(C)(CC(C)C)c2cccc(Br)c2)N=N1
C#CCCC1(CCNC(=O)Cc2cn(CC)c3ccccc23)N=N1
C#CCCC1(CC(=O)Nc2ccc(N3CCN(CC(=O)OC)CC3)cc2)N=N1
C#CCCC1(CCNC(=O)C2(CCc3ccccc3)CC2)N=N1
C#CCCCC1(CCCC(=O)NC(C)C(c2ccccc2)N(C)C)N=N1
C#CCCC1(CCOC(=O)C(C)(C)C2CCCCO2)N=N1
C#CCCC1(CC(=O)NCCc2c[nH][nH]c2=O)N=N1
C#CCCC1(CCC(=O)NCC2(C)CC2(Cl)Cl)N=N1
C#CCCC1(CCCNC(=O)Cc2cnccc2C)N=N1
C#CCCCC1(CCCC(=O)NCc2cccc(Br)c2)N=N1
C#CCCCC1(CCCC(=O)N2C[C@H]3CN(C)C[C@@]3(C)C2)N=N1
C#CCCC1(CCOC(=O)c2c3ccccc3nn2C)N=N1
C#CCCC1(CC(=O)OCCOC2CCS(=O)(=O)CC2)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(OCCOC)nn2)N=N1
C#CCCCC1(CCCC(=O)N2CC(O)CC3(CCC3)C2)N=N1
C#CCCC1(CCC(=O)NC2(c3ccsc3)COC2)N=N1
C#CCCC1(CC(=O)N(C)[C@H]2C[C@@H](C(N)=O)C2)N=N1
C#CCCC1(CC(=O)N2C[C@@H]3OCO[C@@H]3C2)N=N1
C#CCCC1(CC(=O)N2CCCC23CCNC3=O)N=N1
C#CCCC1(CCCNC(=O)c2cc(C(=O)OC(C)(C)C)n(-c3ccccc3)n2)N=N1
C#CCCC1(CC(=O)NCCCN2CCCC(C)C2)N=N1
C#CCCCC1(CCCC(=O)N2CC3C(C2)C3(C)C)N=N1
C#CCCC1(CC(=O)N2CCC(c3ncc4c(n3)CCN(C(=O)OC(C)(C)C)C4)CC2)N=N1
C#CCCC1(CCC(=O)NCc2cn(C3CC3)nn2)N=N1
C#CCCC1(CCC(=O)OCC(C)NC(=O)OCC2c3ccccc3-c3ccccc32)N=N1
C#CCCCC1(CCCC(=O)Oc2c(C)c(C)c3c(c2C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O3)N=N1
C#CCCCC1(CCCC(=O)Nc2cccc3c(C(=O)O)ncc(F)c23)N=N1
C#CCCC1(CCCNC(=O)C(C)(C)n2cc(NC(=O)OC(C)(C)C)cn2)N=N1
C#CCCC1(CCCNC(=O)c2cc(N(C)C)ccc2F)N=N1
C#CCCC1(CC(=O)N(CC)CCc2ccccn2)N=N1
C#CCCC1(CC(=O)N(CCC)c2ccc(Cl)cc2)N=N1
C#CCCC1(CCC(=O)N2CCC(C#N)(C3CCC3)CC2)N=N1
C#CCCC1(CCNC(=O)C(C)(N)CC)N=N1
C#CCCCC1(CCCC(=O)N(C)Cc2cccc3cccnc23)N=N1
C#CCCCC1(CCCC(=O)OCCOc2ccccc2)N=N1
C#CCCC1(CCC(=O)NCc2ccc(P(C)(C)=O)cn2)N=N1
C#CCCC1(CCOC(=O)C2CC(C)(C)OC(C)(C)C2)N=N1
C#CCCCC1(CCCC(=O)N(Cc2cccs2)Cc2ccccc2OC)N=N1
C#CCCC1(CCCNC(=O)C(C)c2cc(F)cc(F)c2)N=N1
C#CCCCC1(CCCC(=O)Nc2cccc(Br)c2C(F)(F)F)N=N1
C#CCCC1(CCC(=O)N2CC(C)OC(c3ccc(C)cc3)C2)N=N1
C#CCCC1(CCOC(=O)c2cccc3c2OC(C)C3)N=N1
C#CCCC1(CCOC(=O)Cc2ccc(OC(F)F)c(F)c2)N=N1
C#CCCC1(CCC(=O)OCC2CC23CCCOC3)N=N1
C#CCCC1(CCCNC(=O)c2c3c(nc4ccccc24)C(=Cc2ccc(N(CC)CC)cc2)CCC3)N=N1
