C#CCCC1(CC(=O)NCCc2ncccc2C)N=N1
C#CCCC1(CCC(=O)Nc2nc3ccccc3n2CCC)N=N1
C#CCCC1(CCSc2nc3ccccc3c(=O)n2-c2cccc(S(=O)(=O)N3CCCC3)c2)N=N1
C#CCCC1(CCOC(=O)COc2cccc(OC)c2)N=N1
C#CCCC1(CCCNC(=O)c2cnc3n2C(C)CCC3)N=N1
C#CCCC1(CCC(=O)N2CCCC2c2cc(Br)cs2)N=N1
C#CCCC1(CCNS(=O)(=O)N2CCC(C#N)CC2)N=N1
C#CCCC1(CCNC(=O)c2cccc(S(=O)(=O)NCCC)c2)N=N1
C#CCCC1(CC(=O)Nc2ccc(-n3ccc(C)n3)cc2)N=N1
C#CCCC1(CCNC(=O)C(=O)Nc2ccc(Cl)c(F)c2)N=N1
C#CCCCC1(CCCC(=O)N2CCN(C(=O)OC(C)(C)C)CC2c2cc(F)cc(F)c2)N=N1
C#CCCC1(CCC(=O)O[C@H](C)C2CCCC2)N=N1
C#CCCC1(CCNC(=O)c2ccc(Cl)c(F)c2N)N=N1
C#CCCC1(CCC(=O)NC(C(=O)OC)c2ccccn2)N=N1
C#CCCC1(CCC(=O)Nc2ccc(-c3ccccc3)cc2C)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(OCC)cc2C(=O)O)N=N1
C#CCCCC1(CCCC(=O)OCc2nnc(C(F)(F)F)s2)N=N1
C#CCCCC1(CCCC(=O)NCCn2cccn2)N=N1
C#CCCC1(CC(=O)N(C)CCc2cccc(OC)c2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(-c3nnn[nH]3)cc2)N=N1
C#CCCC1(CCNC(=O)CSC(F)(F)C(F)(F)C(F)(F)F)N=N1
C#CCCC1(CCCNC(=O)C(C)c2ccc(Br)c(F)c2)N=N1
C#CCCCC1(CCCC(=O)N2CC3CCC(C2)C32OCCO2)N=N1
C#CCCC1(CCC(=O)NC(Cc2cccc(Cl)c2F)C(=O)O)N=N1
C#CCCC1(CCNC(=O)[C@H](O)c2ccc(C(C)C)cc2)N=N1
C#CCCC1(CCCNC(=O)CC2C3CCC2CN(C(=O)OC(C)(C)C)C3)N=N1
C#CCCC1(CC(=O)NCc2cccc(S(=O)(=O)NCCOC)c2)N=N1
C#CCCCC1(CCCC(=O)Nc2nn(C)cc2C(N)=O)N=N1
C#CCCC1(CCCNC(=O)c2cc3cc(F)ccc3[nH]c2=O)N=N1
C#CCCC1(CCC(=O)N2CCN(S(=O)(=O)c3cc(Cl)ccc3Cl)CC2)N=N1
C#CCCC1(CCC(=O)NC2Cc3cscc3C2)N=N1
C#CCCC1(CCCNC(=O)c2ncc(C3CC3)o2)N=N1
C#CCCCC1(CCCC(=O)N2C[C@@H](C(=O)OC)[C@H](c3ccc(OC)cc3)C2)N=N1
C#CCCC1(CCC(=O)Nc2cccc(C(=O)Nc3ccc(OC)nc3)c2)N=N1
C#CCCC1(CCCNC(=O)C2(CC(C)C)COC2)N=N1
C#CCCCC1(CCCC(=O)NCc2ccc(-c3ccc(C)s3)cc2)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)N2CC3CCC2C3)N=N1
C#CCCC1(CC(=O)OC(C#N)COC)N=N1
C#CCCC1(CC(=O)Nc2cc(C)c(C)c(C(=O)OC)c2)N=N1
C#CCCCC1(CCCC(=O)NS(=O)(=O)C(c2ccccc2)C(C)C)N=N1
C#CCCC1(CCC(=O)NCC2(C(=O)OC(C)(C)C)CCOCC2)N=N1
C#CCCC1(CCC(=O)Nc2cc(S(C)(=O)=O)ccc2OCCO)N=N1
C#CCCC1(CCC(=O)Nc2cncnc2C)N=N1
C#CCCC1(CC(=O)NCCCc2cc(C(=O)OC)c(C)o2)N=N1
C#CCCC1(CCC(=O)OCCc2csc(C(=O)OC)c2)N=N1
C#CCCC1(CC(=O)N2CC3CC(CN)(C(=O)OC)CC3C2)N=N1
C#CCCCC1(CCCC(=O)NC2=NN(c3cccc(C(F)(F)F)c3)CC2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(S(=O)(=O)N(C)OC)cc2)N=N1
C#CCCC1(CC(=O)NC2CCC(N)CC2)N=N1
C#CCCC1(CCC(=O)OCC2c3ccccc3-c3ccccc32)N=N1
C#CCCCC1(CCCC(=O)NC2CCC(C(F)F)CC2)N=N1
C#CCCC1(CCC(=O)NC(C)c2ccc(NC(=O)NC3CC3)cc2)N=N1
C#CCCC1(CC(=O)N2CCCCCC2CCO)N=N1
C#CCCCC1(CCCC(=O)NC(c2ccc(Cl)cc2)c2cccc(OC)c2)N=N1
C#CCCC1(CC(=O)N2CCOCCC2C(F)F)N=N1
C#CCCC1(CCC(=O)NC(C)(C)CN(C(=O)CCC2(CCC#C)N=N2)C(C)c2ccccc2)N=N1
C#CCCC1(CCC(=O)NCCOCCOCCOCCC(=O)OC(C)(C)C)N=N1
C#CCCC1(CCC(=O)OCc2ccc(C#N)cc2)N=N1
C#CCCC1(CCC(=O)NCc2nc(C(N)=O)co2)N=N1
C#CCCCC1(CCCC(=O)NC2CCc3c(O)cccc32)N=N1
C#CCCC1(CCCNC(=O)C[C@@H](N)CCCC)N=N1
C#CCCC1(CCCNC(=O)[C@H]2CC[C@H](c3ccccc3)N2)N=N1
C#CCCC1(CC(=O)Nc2ccc(Br)c(OCC(C)C)c2)N=N1
C#CCCC1(CCOC(=O)c2ccc3c(c2)NC(=O)CS3)N=N1
C#CCCC1(CCC(=O)N2CCCCC2CCn2cc(C(=O)O)nn2)N=N1
C#CCCC1(CCNC(=O)c2ccc(Cl)c(S(=O)(=O)Nc3ccccc3C)c2)N=N1
C#CCCC1(CCCNC(=O)C2CC(C(F)F)C2)N=N1
C#CCCC1(CCC(=O)NC(CC2CC2)c2ncccn2)N=N1
C#CCCC1(CCNC(=O)C2(C3CCS(=O)(=O)CC3)CCC2)N=N1
C#CCCC1(CCC(=O)NCC(=O)NC2CCCC2)N=N1
C#CCCCC1(CCCC(=O)NCCc2nc(Cl)sc2Cl)N=N1
C#CCCC1(CCNC(=O)c2cc(C3CCCC3)nn2C)N=N1
C#CCCC1(CCC(=O)N[C@H](Cc2cccc(Cl)c2)C(=O)O)N=N1
C#CCCC1(CC(=O)N2CC3(CC3)C[C@H]2C(=O)O)N=N1
C#CCCC1(CCC(=O)N2CCC(OC(=O)N(C)C)C2)N=N1
C#CCCC1(CC(=O)NCc2cccc(-c3nc(C)c(C(=O)OCC)s3)c2)N=N1
C#CCCC1(CCC(=O)NNC(=O)C2COc3ccccc3O2)N=N1
C#CCCC1(CC(=O)Oc2ccc3c(c2)c(C(=O)OCC)c(C)n3CCC)N=N1
C#CCCCC1(CCCC(=O)NOCC2CC2)N=N1
C#CCCC1(CC(=O)NC2(COC)CCOC2)N=N1
C#CCCC1(CCC(=O)OC(C(=O)OC)c2ccc(F)c(Cl)c2F)N=N1
C#CCCC1(CC(=O)N2CCOCC2CF)N=N1
C#CCCC1(CC(=O)N[C@H]2C[C@@](C(=O)OC)(C(F)F)C2)N=N1
C#CCCC1(CCC(=O)NC(Cc2cccc(F)c2)C(=O)OC)N=N1
C#CCCC1(CCC(=O)NCc2ccnc(N3CCN(C(C)=O)CC3)c2)N=N1
C#CCCC1(CC(=O)OCC2(C(F)(F)F)CCCC2)N=N1
C#CCCC1(CCNC(=O)C(C)Sc2ncccn2)N=N1
C#CCCC1(CCNC(=O)C(C)(CC)C(=O)OCC)N=N1
C#CCCC1(CCNC(=O)CSc2nnc(-c3cccnc3)n2Cc2ccco2)N=N1
C#CCCCC1(CCCC(=O)N2CCN(OCC)CC2)N=N1
C#CCCCC1(CCCC(=O)N2CC(c3ccccc3)C(C)(C)C2)N=N1
C#CCCC1(CCC(=O)N[C@@H]2CC[C@H]2S(C)(=O)=O)N=N1
C#CCCC1(CC(=O)N2CCC(c3nnc[nH]3)CC2)N=N1
C#CCCCC1(CCCC(=O)N(Cc2ccc(Cl)c(Cl)c2)CC(C)(C)N(C)C)N=N1
C#CCCC1(CC(=O)N2CCCC2Cc2cccc3ccccc23)N=N1
C#CCCC1(CCCNC(=O)c2sc(-c3ccccc3)cc2OCC)N=N1
C#CCCC1(CCNC(=O)CCNS(=O)(=O)c2ccc3ccccc3c2)N=N1
