C#CCCCC1(CCCC(=O)NCc2sc(C)nc2C)N=N1
C#CCCCC1(CCCC(=O)OCC(C)c2ccc(OC)cc2)N=N1
C#CCCC1(CC(=O)NS(=O)(=O)c2cn(C)c3cc(Br)ccc23)N=N1
C#CCCC1(CCOC(=O)CCc2nc3ccccc3c(=O)[nH]2)N=N1
C#CCCCC1(CCCC(=O)Nc2[nH]nc(N3CCOCC3)c2C#N)N=N1
C#CCCCC1(CCCC(=O)N2CCSCC2C)N=N1
C#CCCC1(CCC(=O)N2C3CCC2CC2(C3)CC2(F)F)N=N1
C#CCCCC1(CCCC(=O)NCCc2cc(OC)c(OC)cc2[N+](=O)[O-])N=N1
C#CCCCC1(CCCC(=O)Nc2cn(C)nc2OCC(F)F)N=N1
C#CCCC1(CC(=O)NNC(=O)N2CCN(C(=O)OC(C)(C)C)CC2)N=N1
C#CCCCC1(CCCC(=O)NCC(Cc2ccc(F)cc2C)C(=O)NC)N=N1
C#CCCC1(CC(=O)N(CC)CCc2ccc(C(F)(F)F)cc2)N=N1
C#CCCC1(CCC(=O)NCCCc2nc(CC(C)C)no2)N=N1
C#CCCC1(CCNS(=O)(=O)CC2(C#N)CC2)N=N1
C#CCCC1(CCC(=O)N2CCN(Cc3ccc(C)nc3)CC2C(C)CC)N=N1
C#CCCCC1(CCCC(=O)NCC2(c3ccccn3)CCC3(CC2)OCCO3)N=N1
C#CCCCC1(CCCC(=O)NCC(O)c2ccc(C)cc2)N=N1
C#CCCC1(CCOc2ccc3c(c2)NC(=O)NC3)N=N1
C#CCCC1(CCC(=O)N2CCc3[nH]c(=O)cc(C(=O)O)c3C2)N=N1
C#CCCC1(CCOC(=O)C2CCCC(C(F)(F)F)O2)N=N1
C#CCCC1(CCOC(=O)C2(c3ccccc3)CCCO2)N=N1
C#CCCC1(CCNS(=O)(=O)C2(Cl)CC2)N=N1
C#CCCC1(CCCNC(=O)CCCCC#Cc2ccccc2)N=N1
C#CCCC1(CCNC(=O)c2sccc2S(=O)(=O)Nc2ccc(C)cc2)N=N1
C#CCCCC1(CCCC(=O)N2CCCC(CC3(C(F)(F)F)N=N3)C2)N=N1
C#CCCC1(CC(=O)Nc2cc(C)cnc2OC)N=N1
C#CCCC1(CCNC(=O)c2ccc3c(c2)CCS3(=O)=O)N=N1
C#CCCC1(CCC(=O)NCC(=O)N2CCOc3ccccc32)N=N1
C#CCCC1(CC(=O)N2CC(N3CC[C@@H](O)C3)C2)N=N1
C#CCCC1(CCC(=O)NC(C)(C)C2CCCN2)N=N1
C#CCCC1(CC(=O)N[C@H]2CCC=CCC[C@H]2C(=O)OC)N=N1
C#CCCC1(CCCNC(=O)C(N)C(C)SC)N=N1
C#CCCC1(CCC(=O)N2CCCC[C@]23C[C@H](N)C3)N=N1
C#CCCCC1(CCCC(=O)OCc2ccc([N+](=O)[O-])cc2)N=N1
C#CCCCC1(CCCC(=O)OCCC2CCCCN2C(=O)c2cccn2C)N=N1
C#CCCC1(CC(=O)OCCC2(C)COC(C)(C)OC2)N=N1
C#CCCC1(CC(=O)NCC23CC2(C)C3)N=N1
C#CCCC1(CC(=O)N2CCCC(c3ccnn3C)CC2)N=N1
C#CCCCC1(CCCC(=O)N2CCCC(N3CC(C)CS3(=O)=O)C2)N=N1
C#CCCC1(CC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)N=N1
C#CCCCC1(CCCC(=O)NC(C)c2ccc(Cl)nc2)N=N1
C#CCCC1(CC(=O)N2CCC2c2c(C)cccc2C)N=N1
C#CCCC1(CCCNC(=O)Cc2nc(C(F)(F)F)cs2)N=N1
C#CCCC1(CCOC(=O)c2c(C(C)C)cnn2C)N=N1
C#CCCC1(CCCNC(=O)c2cn([C@@H]3COC[C@H]3CNC(=O)OC(C)(C)C)nn2)N=N1
C#CCCC1(CC(=O)N2CCc3cc(F)cc(Cl)c3C2)N=N1
C#CCCC1(CCNC(=O)c2cccc(NC(=O)CCn3ccnc3)c2)N=N1
C#CCCC1(CC(=O)NCC[S+]([O-])c2ccccc2F)N=N1
C#CCCC1(CCCNC(=O)c2nc(Br)sc2C)N=N1
C#CCCC1(CC(=O)O[C@H](C)c2ccc(OCC)cc2)N=N1
C#CCCC1(CCCNC(=O)CCc2ccc3cccnc3c2)N=N1
C#CCCCC1(CCCC(=O)N2CCN(CC3CC3)C(=O)C2)N=N1
C#CCCC1(CC(=O)N2CCC(O)(C3(C#N)CC3)CC2)N=N1
C#CCCC1(CCC(=O)N2CC(CS(C)(=O)=O)C2)N=N1
C#CCCCC1(CCCC(=O)Nc2cc(S(=O)(=O)NC)ccc2N)N=N1
C#CCCC1(CCOC(=O)c2cc(-c3ccc(F)cc3)nc3ccccc23)N=N1
C#CCCC1(CC(=O)Nc2c[nH]c3cccc(F)c23)N=N1
C#CCCCC1(CCCC(=O)N2CCN(C(=O)OC(C)(C)C)[C@H]3COC[C@H]32)N=N1
C#CCCC1(CCCNC(=O)c2c[nH]c(=O)c([N+](=O)[O-])c2)N=N1
C#CCCCC1(CCCC(=O)NC(C)c2cccc(Br)n2)N=N1
C#CCCC1(CCCNS(=O)(=O)c2ccc3scnc3c2)N=N1
C#CCCC1(CCOC(=O)Cc2c(Cl)cccc2Br)N=N1
C#CCCC1(CC(=O)NC(C)c2cnc(Cl)s2)N=N1
C#CCCC1(CCC(=O)NC(Cc2cc(C)ccc2OC)C(C)C)N=N1
C#CCCC1(CCC(=O)NCC2(CCOC)CC2)N=N1
C#CCCC1(CC(=O)N(C)CCCC(=O)Nc2ccccc2)N=N1
C#CCCCC1(CCCC(=O)Nc2[nH]c(=O)ccc2-c2ccccc2)N=N1
C#CCCC1(CCNC(=O)C2CCCN2S(=O)(=O)c2ccc(Br)s2)N=N1
C#CCCC1(CCC(=O)NC(C)c2noc(=O)[nH]2)N=N1
C#CCCC1(CCC(=O)N(C)C2CN3CCC2CC3)N=N1
C#CCCC1(CCNC(=O)c2ccc(Cl)cc2NC(=O)c2ccoc2C)N=N1
C#CCCC1(CCCNC(=O)c2cc(CN)ccc2N)N=N1
C#CCCCC1(CCCC(=O)OCc2cccc(Br)n2)N=N1
C#CCCC1(CCNC(=O)CCC(=O)N(C)C(C)C)N=N1
C#CCCC1(CC(=O)NCc2c(OC)ccc3cccnc23)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(C(=O)OC)s2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(N3CCN(C)CC3)cc2)N=N1
C#CCCC1(CC(=O)N2CCCC2Cn2cnc3ccccc32)N=N1
C#CCCCC1(CCCC(=O)N[C@H](C(=O)OC)[C@@H](C)OC(C)(C)C)N=N1
C#CCCCC1(CCCC(=O)N2CCN(CC(=O)NC(C)CC)CC2)N=N1
C#CCCC1(CC(=O)N2CCc3c(ncn3C)C23CCNC3)N=N1
C#CCCC1(CC(=O)Oc2ccc(C)c3c2C(=O)CC3C)N=N1
C#CCCC1(CC(=O)Nc2cnc3ccccc3c2N2CCN(CC)CC2)N=N1
C#CCCC1(CCC(=O)Nc2ncc(Cc3cccc(Br)c3)s2)N=N1
C#CCCC1(CCC(=O)NC2(c3nnc[nH]3)CC2)N=N1
C#CCCC1(CCC(=O)N(CC)CCC(=O)O)N=N1
C#CCCC1(CCOC(=O)c2ccc(-c3ccc(=O)[nH]n3)cc2)N=N1
C#CCCC1(CC(=O)N2CCc3cc(NC(=O)OC(C)(C)C)cnc3C2)N=N1
C#CCCC1(CCC(=O)Nc2ccc(-n3ncn(C)c3=O)cc2)N=N1
C#CCCC1(CCC(=O)Nc2ccccc2SCC(C)C#N)N=N1
C#CCCC1(CCCNC(=O)Cn2cnc(-c3ccccc3)cc2=O)N=N1
C#CCCC1(CCC(=O)N(CCN(C)C)Cc2ccc(F)cc2)N=N1
C#CCCC1(CCOC(=O)c2cc(Br)c(N)c([N+](=O)[O-])c2)N=N1
C#CCCCC1(CCCC(=O)OC2CCCN(CCS(=O)(=O)c3ccc(Br)cc3)C2)N=N1
C#CCCCC1(CCCC(=O)NC(c2ccncc2)c2ccc(F)cc2)N=N1
C#CCCC1(CCC(=O)NC(CCC(=O)OC)c2ccc(OC)cc2)N=N1
C#CCCC1(CCC(=O)NC2CCc3cn[nH]c3C2)N=N1
C#CCCC1(CCCNC(=O)c2nnn(-c3ccc(OC(C)C)cc3)c2CC)N=N1
C#CCCC1(CC(=O)NC2CCCCC23CCCCC3)N=N1
C#CCCC1(CCNC(=O)C2CC(=O)N(c3ccc(Cl)c(F)c3)C2)N=N1
C#CCCCC1(CCCC(=O)NS(=O)(=O)N2C[C@H]3CCC[C@H]3C2)N=N1
C#CCCC1(CCC(=O)OC2CSc3nccn3C2)N=N1
C#CCCC1(CC(=O)N(CCNC(=O)OC(C)(C)C)Cc2ccccc2)N=N1
C#CCCC1(CCCNC(=O)C(C(C)C)n2cc(C)cn2)N=N1
C#CCCCC1(CCCC(=O)NC2(C3(C(=O)O)CCC3)CCC2)N=N1
C#CCCC1(CC(=O)NCCc2nc3cc4c(cc3[nH]2)OCCO4)N=N1
C#CCCC1(CC(=O)NC(C)C(=O)Nc2ccc(-n3cncn3)cc2)N=N1
C#CCCCC1(CCCC(=O)Nc2ncc(CC3CCOC3)s2)N=N1
C#CCCC1(CC(=O)NCCC2CCCC(OC)(OC)C2)N=N1
C#CCCC1(CC(=O)NC(C)C(=O)OC)N=N1
C#CCCC1(CCNC(=O)CC(C)S(=O)(=O)c2ccc(F)cc2)N=N1
C#CCCC1(CCC(=O)NCC2(C)CCN(C(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CCOC(=O)Cc2ccn(C3CCCC3)n2)N=N1
C#CCCC1(CC(=O)OCC2CC23CC3)N=N1
C#CCCC1(CC(=O)N2CCCC(C(=O)OCC)CC2)N=N1
C#CCCC1(CCCNC(=O)C2COC3(CCC3)CN2)N=N1
C#CCCC1(CCCNC(=O)CCn2nc(C)nc2C)N=N1
C#CCCCC1(CCCC(=O)N2CCC(Cc3ccnn3C)C2)N=N1
C#CCCC1(CCC(=O)Oc2ccc(Cc3ccccc3)cc2)N=N1
C#CCCC1(CC(=O)NC2COc3cc(F)c(Br)cc32)N=N1
C#CCCC1(CC(=O)O[C@@H](C)Cc2ccsc2)N=N1
C#CCCC1(CCC(=O)Nc2cncc(N(C)C)c2)N=N1
C#CCCCC1(CCCC(=O)NC(C)(C)CCC)N=N1
C#CCCC1(CCNC(=O)C2CC23CCN(C(=O)OC(C)(C)C)CC3)N=N1
C#CCCC1(CCC(=O)OCc2cccc3[nH]ccc23)N=N1
C#CCCC1(CCNC(=O)[C@H](CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)N=N1
C#CCCC1(CC(=O)NCc2nc(C(C)(F)F)cs2)N=N1
C#CCCCC1(CCCC(=O)N(CC)C(C)C(=O)c2ccc3sccc3c2)N=N1
C#CCCC1(CC(=O)NCC2(c3cc(Cl)ccc3Cl)CCCC2)N=N1
C#CCCC1(CCC(=O)NCC(C)(C)C2CN(C(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CCC(=O)NCCc2cc(Cl)c3c(c2)OCO3)N=N1
C#CCCC1(CC(=O)Oc2cc(OCCCC)ccc2C(=O)OC)N=N1
C#CCCC1(CC(=O)NC2CCCC2c2ccc(Cl)cc2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(N3CCC(N(C)C)CC3)c(F)c2)N=N1
C#CCCC1(CCNC(=O)c2ccncc2-c2ccccc2)N=N1
C#CCCCC1(CCCC(=O)OCC23CCC(C)(CC2)CO3)N=N1
C#CCCCC1(CCCC(=O)NC(CCC(C)(F)F)C(=O)OC)N=N1
C#CCCC1(CCNC(=O)c2ccc3c(=O)[nH][nH]c3c2)N=N1
C#CCCC1(CCNC(=O)C2CCCN(C(=O)c3cccs3)C2)N=N1
C#CCCC1(CC(=O)NS(=O)(=O)C[C@H]2CC[C@@H](NC(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CC(=O)NCCCC2(CNC(=O)OC(C)(C)C)CCCC2)N=N1
C#CCCC1(CCCNC(=O)c2cocc2Br)N=N1
C#CCCC1(CCCNC(=O)[C@H]2CCOC(=O)N2)N=N1
C#CCCC1(CC(=O)NS(=O)(=O)c2cc(C(C)(C)C)ccc2C)N=N1
C#CCCCC1(CCCC(=O)OC[C@@H](C)c2cccc(OC(F)(F)F)c2)N=N1
C#CCCC1(CC(=O)NNc2nccc(CO)c2F)N=N1
C#CCCC1(CC(=O)N(C)C2CCCc3nc(CC)sc32)N=N1
C#CCCC1(CCC(=O)N2Cc3c(Cl)ccc(Br)c3C2)N=N1
C#CCCCC1(CCCC(=O)NC2CCN(c3cc(C(=O)OC)ccn3)CC2)N=N1
C#CCCC1(CC(=O)N2CCc3cc(O)c(C)cc3C2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(S(N)(=O)=O)c(Cl)c2)N=N1
C#CCCC1(CC(=O)NC(CC)C(C)c2ccccc2)N=N1
C#CCCC1(CCCNC(=O)c2cc(-c3ccc(F)cc3)no2)N=N1
C#CCCC1(CCCNC(=O)c2cnc(C)c(CC(C)C)c2)N=N1
C#CCCCC1(CCCC(=O)NC(CS(C)(=O)=O)c2ccccc2)N=N1
C#CCCC1(CCC(=O)NC(C(=O)O)c2ccc(OCc3ccccc3)cc2)N=N1
C#CCCC1(CCCNC(=O)C2CCC(NC(C)=O)CC2)N=N1
C#CCCCC1(CCCC(=O)N2CC(C3CCC(F)(F)CC3)C2)N=N1
C#CCCCC1(CCCC(=O)N2CCC[C@@H]3O[C@H](c4ccccc4)C[C@@H]32)N=N1
C#CCCC1(CCCNC(=O)c2cc3ccc(Cl)cc3c(=O)o2)N=N1
C#CCCC1(CCC(=O)NC2CCOCC2OCCOC)N=N1
C#CCCCC1(CCCC(=O)N2CCC(C(=O)O)C2)N=N1
C#CCCC1(CC(=O)N2CCCOC(c3ccccc3Cl)C2)N=N1
C#CCCC1(CCC(=O)Nc2cccc(NC(=O)N3CCCC3)c2)N=N1
C#CCCC1(CCNC(=O)Cn2cc(I)c(=O)[nH]c2=O)N=N1
C#CCCCC1(CCCC(=O)N2CCN(S(=O)(=O)N(C)CC)CC2)N=N1
C#CCCC1(CC(=O)NC2CCCN(S(=O)(=O)C(F)(F)F)C2)N=N1
