C#CCCC1(CCOC(=O)C2CC2C2CC2C)N=N1
C#CCCCC1(CCCC(=O)NC(C)C(C)(C)Cl)N=N1
C#CCCC1(CCNS(=O)(=O)c2cc(C(=O)OC)c(F)c(F)c2F)N=N1
C#CCCC1(CCCNC(=O)C=Cc2ccc(OCC(N)=O)c(OC)c2)N=N1
C#CCCC1(CCC(=O)N2CCCCC2CCC(=O)NC)N=N1
C#CCCC1(CCNC(=O)c2cc(=O)n(-c3nc(C)cc(C)n3)[nH]2)N=N1
C#CCCC1(CC(=O)OC2CC(c3ccc(F)cc3)C2)N=N1
C#CCCC1(CC(=O)N2CCN(Cc3ccc4c(c3)OCCO4)CC2)N=N1
C#CCCC1(CC(=O)NNC(=S)Nc2ccccc2OC)N=N1
C#CCCCC1(CCCC(=O)N2CC(C(=O)OC)CC23CCC3)N=N1
C#CCCC1(CCCNC(=O)C(F)(F)c2nc(C)cs2)N=N1
C#CCCC1(CCC(=O)N2CCN3CC4(CC4)C[C@H]3C2)N=N1
C#CCCC1(CCCNC(=O)CCc2ccc(Cl)c(F)c2)N=N1
C#CCCC1(CCC(=O)NS(=O)(=O)c2cc(C)c(OC)cc2C(C)C)N=N1
C#CCCC1(CC(=O)N(CC)C(C)C(=O)NC)N=N1
C#CCCCC1(CCCC(=O)N2CCc3ccc(C(C)=O)cc3CC2)N=N1
C#CCCCC1(CCCC(=O)NCC#CCOC)N=N1
C#CCCC1(CCC(=O)NCc2cccc(C(=O)OCc3ccccc3)c2)N=N1
C#CCCC1(CCC(=O)N(CCC)C(CCc2cccs2)c2ccc(Br)cc2)N=N1
C#CCCCC1(CCCC(=O)N2C3CCCC2CN(C)C(=O)C3)N=N1
C#CCCC1(CC(=O)Nc2ccc3nc(N(C)C)ccc3c2)N=N1
C#CCCC1(CCCNC(=O)c2nc(Br)n3ccccc23)N=N1
C#CCCC1(CCC(=O)OC(CN2CCN(C(=O)OC(C)(C)C)CC2)c2ccco2)N=N1
C#CCCC1(CCC(=O)NC2(C)CC(F)(F)C2)N=N1
C#CCCC1(CC(=O)NC(CO)C2CCCC(OC)C2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(-n3cc(C)cn3)c(F)c2)N=N1
C#CCCCC1(CCCC(=O)NC(Cc2nnc[nH]2)c2ccccc2)N=N1
C#CCCC1(CCCNC(=O)c2c(C)coc2C(C)C)N=N1
C#CCCC1(CC(=O)N2CCCC[C@@H]2C(C)=O)N=N1
C#CCCC1(CCC(=O)N2CCCCC2c2ncon2)N=N1
C#CCCC1(CCC(=O)N2CCC2c2cccc(Cl)c2Cl)N=N1
C#CCCC1(CC(=O)NC(c2ccccc2C(F)(F)F)C(F)(F)F)N=N1
C#CCCC1(CCCNC(=O)Cc2cncc(O)c2)N=N1
C#CCCC1(CC(=O)NCc2cn(CC=C)nn2)N=N1
C#CCCCC1(CCCC(=O)N[C@H]2C[C@](O)(c3nccn3C)C2)N=N1
C#CCCC1(CC(=O)NC(C)C(O)c2ccc(C)c(F)c2)N=N1
C#CCCCC1(CCCC(=O)NCC(CCO)OC)N=N1
C#CCCC1(CCC(=O)OC(c2ccc3ccccc3c2)C(F)(F)F)N=N1
C#CCCC1(CCCNC(=O)C(C)(C)Oc2cccc(Cl)c2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(C#N)(C(C)(C)O)CC2)N=N1
C#CCCC1(CCCNC(=O)c2ccc(F)cc2C2CC2)N=N1
C#CCCC1(CC(=O)NC(C(F)F)C2CCCO2)N=N1
C#CCCC1(CCOC(=O)c2cc(Br)cc(OC(C)(C)C)c2)N=N1
C#CCCC1(CCC(=O)Nc2cc3ccc(Br)cc3n2C)N=N1
C#CCCC1(CCC(=O)Nc2nc(C3(N)CC3)cs2)N=N1
C#CCCCC1(CCCC(=O)N2CCCCC2C2CC(NC(=O)OC(C)(C)C)CCO2)N=N1
C#CCCCC1(CCCC(=O)OCC2CNC(c3ccccc3)=NO2)N=N1
C#CCCC1(CCC(=O)N(C)C(CC)C(=O)c2ccc(Br)cn2)N=N1
C#CCCC1(CCC(=O)NC(C(=O)O)c2ccccc2C(F)(F)F)N=N1
C#CCCC1(CCC(=O)N2CCOC(C)(C(=O)OC)C2)N=N1
C#CCCC1(CCC(=O)NC(Cc2ccc(F)cc2)C(C)(C)O)N=N1
C#CCCC1(CCC(=O)NCCC(F)C(=O)O)N=N1
C#CCCC1(CC(=O)OCCC2CC2)N=N1
C#CCCC1(CCC(=O)NCC2(CO)CCCO2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(C(C)(O)CO)C2)N=N1
C#CCCC1(CC(=O)NC(C)c2nc(-c3cc(C)ccn3)n[nH]2)N=N1
C#CCCCC1(CCCC(=O)NCc2cccc(C)c2Br)N=N1
C#CCCC1(CCC(=O)OCC(F)(F)c2ccccc2)N=N1
C#CCCCC1(CCCC(=O)N2CCN(CCC(=O)OC)C(C)C2)N=N1
C#CCCC1(CCC(=O)NCC23CC=CCN2CCC3)N=N1
C#CCCC1(CCC(=O)OC(C)c2cc(F)cc(F)c2)N=N1
C#CCCC1(CCOC(=O)c2cc(CCCCC)[nH]n2)N=N1
C#CCCC1(CCC(=O)N[C@@H](C)c2ccc(SC)cc2)N=N1
C#CCCC1(CCOC(=O)[C@@H]2CC[C@](F)(CNC(=O)OC(C)(C)C)C2)N=N1
C#CCCC1(CCNC(=O)CC(C)(C)CC(C)=O)N=N1
C#CCCC1(CCNS(=O)(=O)c2ccc(Br)cc2F)N=N1
C#CCCC1(CCNC(=O)C2CCC(C)(C)N2)N=N1
C#CCCC1(CC(=O)Nc2ccccc2C(=O)Nc2ccccc2)N=N1
C#CCCCC1(CCCC(=O)N2CC(c3cc[nH]n3)C(C)(C)C2)N=N1
C#CCCC1(CCC(=O)OCCOCC2CCC2)N=N1
C#CCCC1(CC(=O)N2CCCN(C(C)CO)CC2)N=N1
C#CCCC1(CCNC(=O)C23CCC(C2)NC3)N=N1
C#CCCC1(CCNC(=O)CCC[S+]([O-])c2ccc(Br)cc2)N=N1
C#CCCC1(CC(=O)N(Cc2ccco2)C2CCCC2)N=N1
C#CCCC1(CCC(=O)N2CCC(C(=O)C(F)(F)F)CC2)N=N1
C#CCCC1(CCCNC(=O)CC2CCCN(C(C)C)C2)N=N1
C#CCCC1(CC(=O)NC2CCOC3(CCS(=O)(=O)C3)C2)N=N1
C#CCCC1(CCC(=O)N2CCc3cc(F)cc(F)c3C2)N=N1
C#CCCC1(CCNC(=O)CCCC(C)C)N=N1
C#CCCC1(CCC(=O)N(CC(F)F)C2CCCCC2)N=N1
C#CCCCC1(CCCC(=O)Nc2cc(Br)c3c(c2)OCO3)N=N1
C#CCCCC1(CCCC(=O)NC2(c3ccccc3OC)CCOCC2)N=N1
C#CCCCC1(CCCC(=O)N2CCC(C(=O)c3ccc(C)cc3)CC2)N=N1
C#CCCCC1(CCCC(=O)NCCN2CCN(C(=O)OC(C)(C)C)CC2)N=N1
C#CCCC1(CC(=O)Nc2c(F)cc(Br)cc2OC)N=N1
C#CCCC1(CCCNC(=O)c2ccc(-n3cccn3)c(C)c2)N=N1
C#CCCC1(CC(=O)O[C@H]2CCN(CC(F)F)C2)N=N1
