C#CCCC1(CCNC(=O)Cn2cc(C3(O)COC3)nn2)N=N1
C#CCCC1(CC(=O)Nc2cccc(COCc3ccccc3)c2)N=N1
C#CCCC1(CC(=O)Oc2cc(Cl)c(Cl)cc2CC)N=N1
C#CCCC1(CCC(=O)N2CCCC2(C)C)N=N1
C#CCCC1(CCCNC(=O)c2cc(C(=O)OC)nn2C)N=N1
C#CCCC1(CCCNC(=O)c2c[nH]c(=O)c(Br)c2)N=N1
C#CCCC1(CC(=O)NC(C)Cn2cccn2)N=N1
C#CCCC1(CC(=O)N2CCC(OC)C2)N=N1
C#CCCCC1(CCCC(=O)Nc2cccc3c2c(Br)nn3C)N=N1
C#CCCC1(CCCNC(=O)c2cccc(-n3cccc3)c2)N=N1
C#CCCC1(CCCNC(=O)C(CC2CCCCC2)OC)N=N1
C#CCCC1(CCC(=O)N2C[C@H]3[C@H](NC(=O)OC(C)(C)C)CS(=O)(=O)[C@H]3C2)N=N1
C#CCCCC1(CCCC(=O)NCCC(=O)N2CCCCC2)N=N1
C#CCCCC1(CCCC(=O)NS(=O)(=O)c2ccc(S(F)(F)(F)(F)F)cc2)N=N1
C#CCCC1(CCCNC(=O)c2ncn3ccc(C)cc23)N=N1
C#CCCC1(CCNC(=O)C2(c3nccs3)CC2)N=N1
C#CCCC1(CCC(=O)N[C@@H]2C[C@@H]3CCC[C@H]2C3)N=N1
C#CCCCC1(CCCC(=O)NC[C@H](C)CC(F)(F)F)N=N1
C#CCCCC1(CCCC(=O)Nc2ncc(C(=O)OCC)[nH]2)N=N1
C#CCCCC1(CCCC(=O)N2CCOC(c3nc(C(C)(C)C)n[nH]3)C2)N=N1
C#CCCC1(CC(=O)Nc2ccccc2CN(C)C)N=N1
C#CCCC1(CCC(=O)N(C)C2CCCc3cccnc32)N=N1
C#CCCC1(CC(=O)Nc2ccc3sc(N(CC)CC)nc(=O)c3c2)N=N1
C#CCCCC1(CCCC(=O)Nc2ccc(SC3CCCC3)c(F)c2)N=N1
C#CCCCC1(CCCC(=O)OCCN2CCCCCC2=O)N=N1
C#CCCC1(CCOC(=O)C=Cc2ccc3[nH]ccc3c2)N=N1
C#CCCC1(CCOC(=O)C2CCCC23CN(C(=O)OC(C)(C)C)C3)N=N1
C#CCCCC1(CCCC(=O)N(C2CC2)C(C)c2ccccc2Cl)N=N1
C#CCCC1(CC(=O)NCC2CCC3(CCOCC3)O2)N=N1
C#CCCC1(CCC(=O)NC2(CC(=O)OC)CCCCC2)N=N1
C#CCCCC1(CCCC(=O)NCC(CO)Cc2ccccc2F)N=N1
C#CCCC1(CC(=O)OCC(CC)c2ccccc2)N=N1
C#CCCC1(CCNS(=O)(=O)C[C@@H](C)NC(=O)OCc2ccccc2)N=N1
C#CCCC1(CCC(=O)NCCc2ccccc2CC)N=N1
